# Time-averaged data for fix outmsd
# TimeStep c_msd[4]
0 1.49428e-28
100 1.00099
200 1.93941
300 3.01416
400 4.00778
500 4.98116
600 6.00606
700 6.98747
800 8.05102
900 8.93114
1000 9.77199
1100 10.6126
1200 11.3945
1300 12.0273
1400 12.9588
1500 13.8849
1600 15.032
1700 15.9851
1800 17.0386
1900 18.2538
2000 19.4155
2100 20.4612
2200 21.291
2300 22.214
2400 23.2237
2500 24.4113
2600 25.301
2700 26.3051
2800 27.3083
2900 28.2927
3000 29.3902
3100 30.4572
3200 31.4926
3300 32.3299
3400 33.3776
3500 34.5467
3600 35.6214
3700 36.7443
3800 37.6019
3900 38.5497
4000 39.5655
4100 40.6484
4200 42.0619
4300 42.7778
4400 43.7541
4500 44.6453
4600 45.5502
4700 46.7062
4800 47.4979
4900 48.6884
5000 49.6039
5100 50.6303
5200 51.3576
5300 52.3192
5400 53.4687
5500 54.1742
5600 55.4249
5700 56.5007
5800 57.2145
5900 58.3036
6000 59.3971
6100 60.3502
6200 61.3487
6300 62.2521
6400 63.0701
6500 63.8828
6600 64.3232
6700 65.3896
6800 66.3647
6900 67.2814
7000 68.5067
7100 69.3209
7200 70.3605
7300 71.4903
7400 72.6382
7500 73.4858
7600 74.0198
7700 75.0416
7800 75.7407
7900 76.807
8000 77.8913
8100 79.1913
8200 80.2536
8300 80.9612
8400 81.8089
8500 82.7346
8600 83.7117
8700 84.8859
8800 86.246
8900 87.3199
9000 87.8672
9100 88.9243
9200 90.3589
9300 91.3283
9400 92.0239
9500 92.7424
9600 93.8004
9700 95.1444
9800 95.9967
9900 96.8555
10000 97.844
10100 98.9063
10200 99.2226
10300 100.549
10400 101.142
10500 101.595
10600 102.76
10700 103.76
10800 104.585
10900 105.436
11000 106.916
11100 107.561
11200 108.159
11300 108.88
11400 109.923
11500 110.542
11600 111.404
11700 112.562
11800 113.678
11900 114.608
12000 115.672
12100 116.354
12200 116.543
12300 117.148
12400 118.006
12500 119.615
12600 120.408
12700 120.93
12800 122.43
12900 123.835
13000 125.389
13100 126.069
13200 127.408
13300 128.268
13400 129.103
13500 129.342
13600 129.552
13700 131.009
13800 132.699
13900 133.79
14000 134.573
14100 135.344
14200 135.893
14300 136.666
14400 138.074
14500 139.037
14600 140.408
14700 141.381
14800 142.59
14900 143.528
15000 144.386
15100 145.862
15200 147.022
15300 148.51
15400 149.753
15500 150.816
15600 151.873
15700 153.249
15800 154.384
15900 155.832
16000 156.286
16100 157.18
16200 158.031
16300 159.058
16400 159.865
16500 160.765
16600 161.701
16700 163.306
16800 164.469
16900 165.677
17000 166.497
17100 167.412
17200 168.426
17300 169.526
17400 169.87
17500 171.031
17600 171.846
17700 172.295
17800 173.526
17900 174.72
18000 176.14
18100 177.636
18200 178.688
18300 180.114
18400 181.16
18500 182.188
18600 183.613
18700 184.932
18800 186.398
18900 187.307
19000 187.832
19100 188.823
19200 190.125
19300 190.647
