# Time-averaged data for fix outmsd
# TimeStep c_msd[4]
44400 633.146
44500 634.953
44600 636.36
44700 637.958
44800 639.106
44900 641.69
45000 642.964
45100 644.845
45200 648.59
45300 648.972
45400 651.33
45500 652.965
45600 655.075
45700 656.364
45800 658.094
45900 658.68
46000 659.311
46100 660.629
46200 662.391
46300 665.261
46400 665.737
46500 667.444
46600 668.785
46700 670.412
46800 673.129
46900 674.844
47000 675.043
47100 675.571
47200 678.232
47300 680.365
47400 681.891
47500 683.588
47600 685.443
47700 686.547
47800 688.783
47900 690.191
48000 691.13
48100 691.688
48200 693.142
48300 694.738
48400 696.616
48500 697.061
48600 700.01
48700 701.776
48800 703.563
48900 706.417
49000 709.536
49100 711.231
49200 712.361
49300 713.872
49400 713.91
49500 715.84
49600 716.33
49700 717.4
49800 719.69
49900 720.512
50000 722.081
50100 722.705
50200 723.361
50300 725.023
50400 725.885
50500 728.44
50600 732.032
50700 735.645
50800 738.928
50900 740.349
51000 741.388
51100 743.024
51200 745.555
51300 746.602
51400 747.451
51500 750.421
51600 750.663
51700 754.456
51800 756.356
51900 758.077
52000 759.7
52100 762.582
52200 762.399
52300 764.281
52400 766.596
52500 766.701
52600 767.255
52700 770.432
52800 770.786
52900 771.759
53000 773.719
53100 774.193
53200 775.771
53300 777.732
53400 779.074
53500 780.255
53600 781.195
53700 783.044
53800 785.783
53900 787.601
54000 789.57
54100 791.513
54200 791.979
54300 792.237
54400 792.89
54500 794.989
54600 797.047
54700 798.551
54800 798.325
54900 798.201
55000 799.469
55100 801.528
55200 802.417
55300 803.936
55400 805.491
55500 806.504
55600 808.41
55700 809.545
55800 811.929
55900 812.408
56000 813.643
56100 813.149
56200 815.967
56300 817.758
56400 820.075
56500 820.495
56600 819.69
56700 820.7
56800 821.454
56900 822.716
57000 822.591
57100 824.023
57200 825.021
57300 827.849
57400 827.357
57500 828.159
57600 830.15
57700 831.708
57800 834.297
57900 835.407
58000 836.369
58100 836.433
58200 836.816
58300 839.125
58400 841.649
58500 841.605
58600 842.471
58700 843.508
58800 844.412
58900 845.257
59000 846.735
59100 848.75
59200 850.428
59300 852.61
59400 853.079
59500 853.812
59600 855.211
59700 856.496
59800 857.953
59900 858.881
60000 860.23
60100 861.562
60200 862.462
60300 863.718
60400 862.803
60500 864.077
60600 864.889
60700 866.331
60800 866.935
60900 867.993
61000 869.97
61100 870.866
61200 871.43
61300 873.934
61400 876.368
61500 878.312
61600 879.27
61700 880.763
61800 881.887
61900 883.433
62000 886.358
62100 888.87
62200 890.185
62300 891.837
62400 895.158
62500 896.175
62600 898.064
62700 900.601
62800 902.146
62900 903.323
63000 905.063
63100 906.563
63200 908.525
63300 909.903
63400 912.692
63500 914.069
63600 916.478
63700 917.559
63800 918.92
63900 919.449
64000 920.698
64100 921.382
64200 922.054
64300 923.92
64400 926.516
64500 927.362
64600 928.737
64700 930.351
64800 930.84
64900 933.397
65000 934.61
65100 935.824
65200 937.354
65300 938.474
65400 938.402
65500 939.192
65600 939.768
65700 940.953
65800 942.42
65900 943.971
66000 944.483
66100 945.395
66200 946.969
66300 947.81
66400 947.797
66500 950.164
66600 950.604
66700 951.13
66800 952.752
66900 953.448
67000 955.386
67100 957.321
67200 958.75
67300 959.944
67400 960.008
67500 961.115
67600 962.608
67700 964.153
67800 965.44
67900 966.698
68000 967.361
68100 970.058
68200 971.045
68300 972.57
68400 972.121
68500 973.053
68600 974.42
68700 974.553
68800 977.221
68900 979.863
69000 981.365
69100 982.972
69200 983.968
69300 984.544
69400 985.073
69500 986.779
69600 987.931
69700 988.795
69800 990.727
69900 992.513
70000 995.02
70100 997.657
70200 999.655
70300 1001.37
70400 1003.03
70500 1003.54
70600 1002.65
70700 1003.71
70800 1004.39
70900 1005.8
71000 1008.57
71100 1010.69
71200 1010.72
71300 1012.1
71400 1014.38
71500 1016.07
71600 1017.67
71700 1018.12
71800 1018.79
71900 1019.95
72000 1023.15
72100 1025.15
72200 1026.42
72300 1027.75
72400 1028.12
72500 1031.57
72600 1033.26
72700 1033.34
72800 1034.02
72900 1036.72
73000 1037.47
73100 1039.51
73200 1039.83
73300 1042.83
73400 1044.98
73500 1045.07
73600 1047.12
73700 1049.25
73800 1050.75
73900 1051.58
74000 1054.31
74100 1054.57
74200 1056.32
74300 1056.49
74400 1057.33
74500 1058.77
74600 1061
74700 1062.02
74800 1063.83
74900 1065.68
75000 1065.83
75100 1066.83
75200 1069.84
75300 1070.9
75400 1072.62
75500 1076.7
75600 1076.77
75700 1079.09
75800 1079.01
75900 1080.58
76000 1082.1
76100 1083.03
76200 1084.85
76300 1084.81
76400 1085.15
76500 1088.08
76600 1090.16
76700 1092.62
76800 1094.25
76900 1094.18
77000 1095.57
77100 1095.41
77200 1096.86
77300 1098.34
77400 1099.81
77500 1101.04
77600 1101.36
77700 1102.29
77800 1105.33
77900 1106.69
78000 1108.5
78100 1109.86
78200 1110.53
78300 1111.04
78400 1112.09
78500 1113.06
78600 1113.97
78700 1113.31
78800 1115.67
78900 1116.9
79000 1117.87
79100 1118.53
79200 1119.32
79300 1119.44
79400 1121.64
79500 1121.51
79600 1124.11
79700 1124.65
79800 1129.26
79900 1129.29
80000 1131.06
80100 1133.83
80200 1136.09
80300 1137.37
80400 1139.29
80500 1140.61
80600 1140.7
80700 1141.1
80800 1141.94
80900 1145.29
81000 1146.3
81100 1147.87
81200 1148.44
81300 1150.63
81400 1152.01
81500 1154.04
81600 1154.78
81700 1157.62
81800 1159.27
81900 1161.55
82000 1162.06
82100 1164.32
82200 1167.01
82300 1168.59
82400 1169.77
82500 1171.51
82600 1172.58
82700 1175.16
82800 1177.78
82900 1179.8
83000 1181.18
83100 1179.72
83200 1180.76
83300 1182.71
83400 1186.35
83500 1187.43
83600 1188.27
83700 1188.96
83800 1191.07
83900 1192.57
84000 1193.01
84100 1195.86
84200 1198.27
84300 1201.12
84400 1203.6
84500 1206
84600 1207.66
84700 1209.1
84800 1210.6
84900 1211.69
85000 1212.95
85100 1214.14
85200 1216.37
85300 1218.82
85400 1219.64
85500 1220.03
85600 1221.83
85700 1222.84
85800 1224.91
85900 1226.83
86000 1228.11
86100 1229.61
86200 1230.83
86300 1232.51
86400 1231.72
86500 1232.74
86600 1233.87
86700 1236.42
86800 1238.26
86900 1239.01
87000 1240.56
87100 1241.48
87200 1243.67
87300 1245.22
87400 1247.11
87500 1250.22
87600 1250.4
87700 1250.74
87800 1251.92
87900 1253.92
88000 1253.81
88100 1256.05
88200 1256.77
88300 1257.75
88400 1257.5
88500 1259.13
88600 1259.72
88700 1264.3
88800 1266.56
88900 1267.04
89000 1269.25
89100 1268.48
89200 1270.36
89300 1270.37
89400 1272.14
89500 1273.04
89600 1273.57
89700 1274.28
89800 1275.05
89900 1276.69
90000 1276.6
90100 1276.89
90200 1277.44
90300 1279.74
90400 1281.97
90500 1284
90600 1285.18
90700 1286.65
90800 1289.44
90900 1291.93
91000 1293.86
91100 1296.45
91200 1297.44
91300 1299.52
91400 1300.06
91500 1301.71
91600 1303.75
91700 1304.68
91800 1305.08
91900 1307.28
92000 1311.77
92100 1312.4
92200 1313.78
92300 1316.08
92400 1316.68
92500 1318.78
92600 1319.63
92700 1320.63
92800 1321.03
92900 1322.78
93000 1322.93
