# Chunk-averaged data for fix prof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
400000 20 46080.00000000001
  1 0.025 2308.42 274.945
  2 0.075 2308.14 285.022
  3 0.125 2305.46 289.356
  4 0.175 2305.46 292.563
  5 0.225 2305.52 294.968
  6 0.275 2305.07 299.05
  7 0.325 2304.02 302.652
  8 0.375 2303.52 308.16
  9 0.425 2300.14 311.798
  10 0.475 2300.63 319.749
  11 0.525 2296.59 329.799
  12 0.575 2301.07 318.129
  13 0.625 2301.57 311.943
  14 0.675 2302.53 308.891
  15 0.725 2303.3 303.046
  16 0.775 2302.94 301.018
  17 0.825 2303.75 296.051
  18 0.875 2305.74 291.685
  19 0.925 2306.51 288.644
  20 0.975 2309.62 283.685
