# Chunk-averaged data for fix prof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
400000 20 57600
  1 0.025 2888.41 270.033
  2 0.075 2883.54 279.021
  3 0.125 2880.63 287.117
  4 0.175 2879.86 291.085
  5 0.225 2881.46 294.04
  6 0.275 2881.49 298.637
  7 0.325 2879.69 302.727
  8 0.375 2880.14 306.524
  9 0.425 2878.64 312.61
  10 0.475 2875.41 320.158
  11 0.525 2871.03 327.589
  12 0.575 2876.11 319.573
  13 0.625 2880.1 312.554
  14 0.675 2879.8 307.643
  15 0.725 2879.12 302.28
  16 0.775 2879.31 297.061
  17 0.825 2880.23 293.756
  18 0.875 2879.19 290.889
  19 0.925 2881.01 285.642
  20 0.975 2884.84 279.543
