# Chunk-averaged data for fix prof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
400000 20 23040.000000000004
  1 0.025 1166.3 244.061
  2 0.075 1158.41 264.201
  3 0.125 1155.67 279.011
  4 0.175 1153.71 286.387
  5 0.225 1152.65 292.147
  6 0.275 1152.04 302.16
  7 0.325 1151.13 306.791
  8 0.375 1151.01 314.739
  9 0.425 1148.19 322.775
  10 0.475 1142.99 338.401
  11 0.525 1138.61 358.766
  12 0.575 1145.57 336.136
  13 0.625 1148.02 322.134
  14 0.675 1150.53 312.972
  15 0.725 1150.5 306.977
  16 0.775 1151.7 300.175
  17 0.825 1152.2 291.269
  18 0.875 1153.37 283.975
  19 0.925 1155.91 274.53
  20 0.975 1161.5 263.204
