# Chunk-averaged data for fix prof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
400000 20 11520.000000000002
  1 0.025 577.704 281.996
  2 0.075 576.788 289.251
  3 0.125 576.424 292.898
  4 0.175 576.438 295.151
  5 0.225 576.2 297.935
  6 0.275 575.9 300.318
  7 0.325 575.52 302.097
  8 0.375 575.982 304.809
  9 0.425 575.394 307.232
  10 0.475 575.096 313.698
  11 0.525 574.71 319.739
  12 0.575 575.266 312.379
  13 0.625 575.698 308.552
  14 0.675 575.46 304.108
  15 0.725 575.884 302.193
  16 0.775 575.824 300.646
  17 0.825 576.182 296.574
  18 0.875 576.36 296.45
  19 0.925 576.65 293.887
  20 0.975 576.52 289.613
