# Chunk-averaged data for fix prof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
400000 20 5760.000000000001
  1 0.025 290.458 266.676
  2 0.075 289.536 279.543
  3 0.125 288.624 290.674
  4 0.175 288.302 296.151
  5 0.225 287.976 298.991
  6 0.275 288.234 303.628
  7 0.325 287.886 306.905
  8 0.375 287.294 308.926
  9 0.425 287.16 314.456
  10 0.475 286.298 325.754
  11 0.525 285.314 336.881
  12 0.575 286.23 325.889
  13 0.625 287.402 314.364
  14 0.675 287.632 306.706
  15 0.725 287.976 302.412
  16 0.775 288.068 299.735
  17 0.825 288.202 296.735
  18 0.875 288.506 292.604
  19 0.925 289.1 285.496
  20 0.975 289.802 277.297
