# Chunk-averaged data for fix prof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
400000 20 34560.00000000001
  1 0.025 1732.71 275.129
  2 0.075 1731.13 284.472
  3 0.125 1730.26 289.381
  4 0.175 1729.44 293.285
  5 0.225 1727.7 297.124
  6 0.275 1728.01 298.634
  7 0.325 1727.12 305.753
  8 0.375 1726.09 308.498
  9 0.425 1726.94 309.808
  10 0.475 1725.34 315.526
  11 0.525 1722.73 325.788
  12 0.575 1725.24 314.562
  13 0.625 1726.61 309.906
  14 0.675 1726.78 304.589
  15 0.725 1727.94 299.884
  16 0.775 1728.65 300.068
  17 0.825 1728.67 298.308
  18 0.875 1728.61 295.657
  19 0.925 1729.22 293.393
  20 0.975 1730.8 285.63
