strain,sxx_GPa
0.31800,1.28932
0.31900,1.12516
0.32000,1.04343
0.32100,1.14165
0.32200,1.07278
0.32300,1.15880
0.32400,1.18189
0.32500,1.04853
0.32600,1.01553
0.32700,1.03681
0.32800,1.05484
0.32900,1.02531
0.33000,1.12914
0.33100,1.05717
0.33200,1.14665
0.33300,1.04201
0.33400,1.09086
0.33500,1.03305
0.33600,1.13721
0.33700,1.02668
0.33800,1.11391
0.33900,1.15598
0.34000,1.08567
0.34100,1.11598
0.34200,1.14479
0.34300,1.14377
0.34400,1.15108
0.34500,1.16239
0.34600,1.23135
0.34700,1.10536
0.34800,1.18996
0.34900,1.09777
0.35000,1.16282
0.35100,1.15971
0.35200,1.23257
0.35300,1.05290
0.35400,1.01881
0.35500,0.93957
0.35600,1.00291
0.35700,0.91772
0.35800,0.93355
0.35900,0.86034
0.36000,0.96441
0.36100,0.89530
0.36200,0.78867
0.36300,0.85903
0.36400,0.96034
0.36500,0.89417
0.36600,0.94077
0.36700,0.91835
0.36800,0.95436
0.36900,0.94319
0.37000,0.91783
0.37100,0.92549
0.37200,1.04385
0.37300,1.09390
0.37400,1.06977
0.37500,1.10608
0.37600,1.06129
0.37700,1.17534
0.37800,1.16853
0.37900,1.18304
0.38000,1.10698
0.38100,1.14192
0.38200,1.11098
0.38300,1.10662
0.38400,1.20711
0.38500,1.08607
0.38600,1.08242
0.38700,0.97124
0.38800,0.83818
0.38900,0.79726
0.39000,0.94187
0.39100,0.94231
0.39200,0.86248
0.39300,0.70895
0.39400,0.59537
0.39500,0.59249
0.39600,0.65303
0.39700,0.72593
0.39800,0.75275
0.39900,0.69549
0.40000,0.68059
0.40100,0.55410
0.40200,0.48450
0.40300,0.63642
0.40400,0.67095
0.40500,0.73321
0.40600,0.74716
0.40700,0.67043
0.40800,0.55944
0.40900,0.57623
0.41000,0.73342
0.41100,0.75735
0.41200,0.92558
0.41300,0.88871
0.41400,0.75804
0.41500,0.72551
0.41600,0.72353
0.41700,0.84970
0.41800,0.80545
0.41900,0.73545
0.42000,0.71180
0.42100,0.82207
0.42200,0.67122
0.42300,0.74869
0.42400,0.68614
0.42500,0.63945
0.42600,0.70161
0.42700,0.79204
0.42800,0.78892
0.42900,0.82296
0.43000,0.67616
0.43100,0.67337
0.43200,0.71087
0.43300,0.69789
0.43400,0.67040
0.43500,0.65810
0.43600,0.68078
0.43700,0.76905
0.43800,0.73768
0.43900,0.68203
0.44000,0.70417
0.44100,0.60135
0.44200,0.70425
0.44300,0.73566
0.44400,0.77398
0.44500,0.70401
0.44600,0.68493
0.44700,0.71986
0.44800,0.66157
0.44900,0.77581
0.45000,0.63160
0.45100,0.76540
0.45200,0.75647
0.45300,0.73910
0.45400,0.58304
0.45500,0.51304
0.45600,0.46115
0.45700,0.54849
0.45800,0.70006
0.45900,0.68061
0.46000,0.56031
0.46100,0.48390
0.46200,0.42339
0.46300,0.52197
0.46400,0.53072
0.46500,0.66640
0.46600,0.65470
0.46700,0.49614
0.46800,0.49911
0.46900,0.53946
0.47000,0.63764
0.47100,0.62664
0.47200,0.57737
0.47300,0.55787
0.47400,0.54855
0.47500,0.65347
0.47600,0.70800
0.47700,0.62084
0.47800,0.55584
0.47900,0.61382
0.48000,0.51514
0.48100,0.71086
0.48200,0.69257
0.48300,0.63083
0.48400,0.70016
0.48500,0.61553
0.48600,0.62898
0.48700,0.60208
0.48800,0.61524
0.48900,0.57888
0.49000,0.63502
0.49100,0.68335
0.49200,0.52509
0.49300,0.65484
0.49400,0.48517
0.49500,0.46628
0.49600,0.48876
0.49700,0.51613
0.49800,0.44597
0.49900,0.49793
0.50000,0.38423
0.50100,0.43196
0.50200,0.44643
0.50300,0.36161
0.50400,0.37390
0.50500,0.41595
0.50600,0.39198
0.50700,0.38296
0.50800,0.34068
0.50900,0.25037
0.51000,0.35400
0.51100,0.37785
0.51200,0.47090
0.51300,0.51370
0.51400,0.47585
0.51500,0.34081
0.51600,0.36699
0.51700,0.51307
0.51800,0.60843
0.51900,0.65356
0.52000,0.62256
0.52100,0.46116
0.52200,0.49431
0.52300,0.46599
0.52400,0.52814
0.52500,0.54661
0.52600,0.58192
0.52700,0.49701
0.52800,0.59931
0.52900,0.50723
0.53000,0.50892
0.53100,0.45468
0.53200,0.48167
0.53300,0.57237
0.53400,0.52865
0.53500,0.47417
0.53600,0.43919
0.53700,0.33270
0.53800,0.40060
0.53900,0.42619
0.54000,0.41045
0.54100,0.39621
0.54200,0.41030
0.54300,0.44080
0.54400,0.34134
0.54500,0.42574
0.54600,0.38595
0.54700,0.46190
0.54800,0.48936
0.54900,0.42541
0.55000,0.44178
0.55100,0.38588
0.55200,0.33227
0.55300,0.35521
0.55400,0.50784
0.55500,0.46000
0.55600,0.43534
0.55700,0.41713
0.55800,0.30500
0.55900,0.41144
0.56000,0.38877
0.56100,0.41026
0.56200,0.31129
0.56300,0.20187
0.56400,0.28565
0.56500,0.31812
0.56600,0.30552
0.56700,0.29627
0.56800,0.31718
0.56900,0.15650
0.57000,0.21982
0.57100,0.19488
0.57200,0.17331
0.57300,0.31995
0.57400,0.15622
0.57500,0.23421
0.57600,0.36292
0.57700,0.32186
0.57800,0.36543
0.57900,0.43616
0.58000,0.47532
0.58100,0.43493
0.58200,0.55630
0.58300,0.56417
0.58400,0.41713
0.58500,0.57206
0.58600,0.49830
0.58700,0.51612
0.58800,0.59000
0.58900,0.57962
0.59000,0.55566
0.59100,0.57638
0.59200,0.49752
0.59300,0.57563
0.59400,0.56167
0.59500,0.61464
0.59600,0.52582
0.59700,0.49224
0.59800,0.44656
0.59900,0.40192
0.60000,0.43891
0.60100,0.40789
0.60200,0.35718
0.60300,0.23728
0.60400,0.12068
0.60500,0.19525
0.60600,0.16526
0.60700,0.14618
0.60800,-0.05552
0.60900,0.03669
0.61000,-0.04510
0.61100,-0.06006
0.61200,-0.09988
0.61300,-0.15300
0.61400,-0.18304
0.61500,-0.11696
0.61600,-0.16081
0.61700,-0.20938
0.61800,-0.23132
0.61900,-0.24602
0.62000,-0.35225
0.62100,-0.26228
0.62200,-0.19348
0.62300,-0.13295
0.62400,-0.14154
0.62500,-0.18609
0.62600,-0.12533
0.62700,-0.13844
0.62800,0.01052
0.62900,0.04094
0.63000,0.06201
0.63100,0.02617
0.63200,0.04978
0.63300,-0.01164
0.63400,0.16905
0.63500,0.21723
0.63600,0.29181
0.63700,0.24766
0.63800,0.19557
0.63900,0.08260
0.64000,0.18322
0.64100,0.22945
0.64200,0.31414
0.64300,0.25059
0.64400,0.19058
0.64500,0.01953
0.64600,0.02432
0.64700,0.06574
0.64800,0.03987
0.64900,0.11551
0.65000,-0.03606
0.65100,-0.11629
0.65200,-0.21044
0.65300,-0.18519
0.65400,-0.23146
0.65500,-0.10870
0.65600,-0.11029
0.65700,-0.13055
0.65800,-0.22669
0.65900,-0.18547
0.66000,-0.23348
0.66100,-0.14389
0.66200,-0.13383
0.66300,-0.13602
0.66400,-0.13125
0.66500,-0.16900
0.66600,-0.12887
0.66700,-0.03545
0.66800,-0.10736
0.66900,0.04465
0.67000,-0.00854
0.67100,0.04260
0.67200,0.10434
0.67300,0.16081
0.67400,0.14669
0.67500,0.20159
0.67600,0.17553
0.67700,0.17610
0.67800,0.25788
0.67900,0.21300
0.68000,0.17516
0.68100,0.22301
0.68200,0.21308
0.68300,0.07871
0.68400,0.10148
0.68500,0.16463
0.68600,0.05403
0.68700,0.02123
0.68800,0.01400
0.68900,-0.05327
0.69000,0.04104
0.69100,-0.01202
0.69200,-0.16956
0.69300,-0.17885
0.69400,-0.21684
0.69500,-0.10514
0.69600,-0.13894
0.69700,-0.16464
0.69800,-0.21795
0.69900,-0.29759
0.70000,-0.26914
0.70100,-0.23215
0.70200,-0.14684
0.70300,-0.05834
0.70400,-0.02763
0.70500,-0.10238
0.70600,-0.03499
0.70700,-0.09843
0.70800,-0.14398
0.70900,-0.05420
0.71000,0.03686
0.71100,0.17978
0.71200,0.14053
0.71300,0.05432
0.71400,0.15996
0.71500,0.12435
0.71600,0.20075
0.71700,0.35302
0.71800,0.17366
0.71900,0.12099
0.72000,0.11646
0.72100,0.06039
0.72200,0.16169
0.72300,0.17909
0.72400,0.10648
0.72500,-0.04543
0.72600,-0.00103
0.72700,-0.04543
0.72800,0.07236
0.72900,0.08144
0.73000,0.08267
0.73100,0.00107
0.73200,-0.11980
0.73300,-0.16811
0.73400,-0.14993
0.73500,-0.18361
0.73600,-0.09149
0.73700,-0.03343
0.73800,-0.18251
0.73900,-0.33217
0.74000,-0.29570
0.74100,-0.13631
0.74200,-0.13032
0.74300,-0.00678
0.74400,-0.06420
0.74500,-0.19494
0.74600,-0.05860
0.74700,0.04969
0.74800,0.05028
0.74900,0.07471
0.75000,0.10869
0.75100,0.04155
0.75200,0.02354
0.75300,0.06093
0.75400,-0.00462
0.75500,0.11959
0.75600,0.09577
0.75700,0.12819
0.75800,0.08500
0.75900,0.07724
0.76000,0.06967
0.76100,0.21140
0.76200,0.15557
0.76300,0.11017
0.76400,0.13215
0.76500,0.08570
0.76600,0.00228
0.76700,0.04744
0.76800,0.00361
0.76900,-0.02574
0.77000,-0.01874
0.77100,-0.01385
0.77200,-0.11379
0.77300,-0.11790
0.77400,-0.12061
0.77500,-0.04142
0.77600,-0.07079
0.77700,-0.02463
0.77800,-0.02852
0.77900,-0.13281
0.78000,-0.18034
0.78100,-0.03801
0.78200,-0.04683
0.78300,-0.06230
0.78400,-0.04569
0.78500,-0.12627
0.78600,-0.12111
0.78700,-0.01141
0.78800,-0.07299
0.78900,-0.01583
0.79000,0.10972
0.79100,0.01157
0.79200,0.07865
0.79300,0.11925
0.79400,0.03962
0.79500,0.09691
0.79600,0.11792
0.79700,0.15307
0.79800,0.16738
0.79900,0.09320
0.80000,0.03068
0.80100,-0.02283
0.80200,0.05084
0.80300,0.02683
0.80400,0.16170
0.80500,0.09107
0.80600,-0.02448
0.80700,-0.01844
0.80800,-0.06455
0.80900,-0.06657
0.81000,0.00247
0.81100,-0.00162
0.81200,0.01507
0.81300,-0.04966
0.81400,-0.16081
0.81500,-0.20472
0.81600,-0.13184
0.81700,-0.01836
0.81800,-0.01995
0.81900,-0.03994
0.82000,-0.17236
0.82100,-0.13960
0.82200,-0.19633
0.82300,-0.01772
0.82400,-0.08449
0.82500,0.08996
0.82600,0.04855
0.82700,0.03330
0.82800,0.01698
0.82900,0.08845
0.83000,-0.00569
0.83100,0.09985
0.83200,0.06681
0.83300,0.11170
0.83400,0.08143
0.83500,0.12792
0.83600,-0.01220
0.83700,0.08184
0.83800,-0.03110
0.83900,0.01172
0.84000,0.03916
0.84100,0.14393
0.84200,0.10408
0.84300,0.07593
0.84400,0.02931
0.84500,-0.00704
0.84600,-0.01376
0.84700,0.07967
0.84800,-0.03238
0.84900,-0.00712
0.85000,-0.08047
0.85100,-0.13448
0.85200,-0.02542
0.85300,-0.15472
0.85400,-0.11445
0.85500,-0.10919
0.85600,-0.08797
0.85700,-0.09507
0.85800,-0.05828
0.85900,-0.07659
0.86000,0.03569
0.86100,0.07494
0.86200,-0.00077
0.86300,0.00110
0.86400,-0.00349
0.86500,-0.08091
0.86600,0.01700
0.86700,0.03529
0.86800,0.05236
0.86900,0.00301
0.87000,-0.00062
0.87100,0.03716
0.87200,0.00245
0.87300,0.09232
0.87400,0.23021
0.87500,0.21565
0.87600,0.06158
0.87700,0.05949
0.87800,-0.00413
0.87900,0.07484
0.88000,0.07814
0.88100,0.12079
0.88200,0.01158
0.88300,-0.08176
0.88400,-0.13693
0.88500,-0.13402
0.88600,-0.03612
0.88700,0.05253
0.88800,0.00977
0.88900,-0.06030
0.89000,-0.08201
0.89100,-0.22985
0.89200,-0.18944
0.89300,0.00609
0.89400,0.07667
0.89500,-0.07294
0.89600,-0.14215
0.89700,-0.13826
0.89800,-0.18541
0.89900,0.02221
0.90000,0.06375
0.90100,-0.00341
0.90200,-0.02268
0.90300,0.02358
0.90400,0.00098
0.90500,0.05363
0.90600,0.07199
0.90700,0.06227
0.90800,0.06795
0.90900,0.02310
0.91000,0.00411
0.91100,-0.01823
0.91200,0.08569
0.91300,0.12608
0.91400,0.16983
0.91500,0.08416
0.91600,0.22319
0.91700,0.04138
0.91800,0.06028
0.91900,0.02819
0.92000,0.07041
0.92100,0.01389
0.92200,-0.03654
0.92300,-0.05338
0.92400,0.00166
0.92500,-0.02184
0.92600,-0.05357
0.92700,-0.13648
0.92800,-0.09133
0.92900,-0.05487
0.93000,-0.00505
0.93100,0.02759
0.93200,-0.01106
0.93300,-0.01193
0.93400,-0.13353
0.93500,-0.21343
0.93600,-0.14785
0.93700,-0.15710
0.93800,-0.09840
0.93900,-0.02450
0.94000,-0.05564
0.94100,-0.05447
0.94200,-0.08587
0.94300,-0.14048
0.94400,0.04759
0.94500,0.17707
0.94600,0.10982
0.94700,0.10082
0.94800,-0.01697
0.94900,-0.00086
0.95000,0.03373
0.95100,0.12956
0.95200,0.17475
0.95300,0.08575
0.95400,0.06638
0.95500,0.05366
0.95600,0.09390
0.95700,0.08661
0.95800,0.13451
0.95900,0.14204
0.96000,0.06385
0.96100,0.08993
0.96200,0.02928
0.96300,0.06583
0.96400,0.02212
0.96500,-0.02092
0.96600,0.00321
0.96700,-0.00288
0.96800,-0.15501
0.96900,-0.20341
0.97000,-0.08730
0.97100,-0.03378
0.97200,-0.06663
0.97300,-0.08382
0.97400,-0.03146
0.97500,-0.10608
0.97600,-0.06434
0.97700,-0.10203
0.97800,-0.11963
0.97900,-0.06422
0.98000,-0.11673
0.98100,-0.14376
0.98200,-0.06179
0.98300,-0.01347
0.98400,0.12661
0.98500,0.02531
0.98600,-0.06055
0.98700,0.03192
0.98800,0.11561
0.98900,0.13132
0.99000,0.18097
0.99100,0.08169
0.99200,0.00451
0.99300,0.06328
0.99400,0.00294
0.99500,0.05258
0.99600,0.06868
0.99700,0.07747
0.99800,0.09786
0.99900,0.12009
1.00000,0.00346
