strain,sxx_GPa,syy_GPa,szz_GPa
-0.13800,-0.31215,-0.03680,-0.07026
-0.13900,-0.19708,0.08322,0.02980
-0.14000,-0.22288,-0.03453,0.00124
-0.14100,-0.21218,-0.09064,0.03967
-0.14200,-0.14134,0.01058,0.07099
-0.14300,-0.19302,-0.03645,-0.05577
-0.14400,-0.10861,0.14625,0.04739
-0.14500,-0.30621,-0.01816,-0.10184
-0.14600,-0.25804,-0.02916,0.03121
-0.14700,-0.33291,-0.06447,0.05006
-0.14800,-0.30661,-0.05282,0.01362
-0.14900,-0.27129,0.08861,0.02018
-0.15000,-0.37486,-0.00122,-0.06504
-0.15100,-0.35216,0.05180,0.02790
-0.15200,-0.42882,-0.00225,0.00210
-0.15300,-0.44775,-0.00638,0.01473
-0.15400,-0.43576,-0.02223,0.02021
-0.15500,-0.43574,0.03236,0.03705
-0.15600,-0.47883,-0.05207,-0.06932
-0.15700,-0.33386,0.09338,0.05918
-0.15800,-0.47772,-0.07568,-0.08908
-0.15900,-0.39071,0.02415,0.01624
-0.16000,-0.41588,0.01398,0.04689
-0.16100,-0.46353,-0.10800,-0.04266
-0.16200,-0.30043,0.10040,0.09117
-0.16300,-0.50552,-0.06408,-0.14441
-0.16400,-0.36741,0.04512,0.02854
-0.16500,-0.38001,0.01321,0.06372
-0.16600,-0.53949,-0.13620,-0.05435
-0.16700,-0.36955,0.06997,0.08316
-0.16800,-0.50400,-0.03048,-0.08885
-0.16900,-0.44118,0.06871,-0.03818
-0.17000,-0.44570,0.05031,0.10187
-0.17100,-0.60326,-0.13398,-0.08166
-0.17200,-0.46238,0.07919,0.13135
-0.17300,-0.63782,-0.08774,-0.09531
-0.17400,-0.62441,-0.00982,-0.03693
-0.17500,-0.54994,0.09097,0.05341
-0.17600,-0.70337,-0.09230,-0.09415
-0.17700,-0.55188,0.02769,0.06508
-0.17800,-0.67708,-0.01443,0.00132
-0.17900,-0.78157,-0.07496,-0.06567
-0.18000,-0.66962,0.07880,0.07929
-0.18100,-0.78584,-0.04716,-0.07830
-0.18200,-0.74163,-0.02296,-0.00328
-0.18300,-0.66737,0.07732,0.08174
-0.18400,-0.85333,-0.11824,-0.09896
-0.18500,-0.69646,0.08731,0.06620
-0.18600,-0.77749,-0.02159,-0.03495
-0.18700,-0.83450,0.00537,0.00076
-0.18800,-0.82343,0.03137,0.01156
-0.18900,-0.87365,-0.05281,-0.03631
-0.19000,-0.79789,0.05779,0.03228
-0.19100,-0.84590,-0.02033,0.00756
-0.19200,-0.83392,-0.03141,0.01651
-0.19300,-0.83108,0.01348,-0.00147
-0.19400,-0.84627,0.03038,-0.03564
-0.19500,-0.78955,0.02244,0.01168
-0.19600,-0.91604,-0.05281,-0.02663
-0.19700,-0.90854,-0.02640,-0.01240
-0.19800,-0.84710,-0.00705,0.05888
-0.19900,-0.93272,-0.01310,-0.07633
-0.20000,-0.82623,0.09934,0.02650
