strain,sxx_GPa,syy_GPa,szz_GPa
0.15100,3.20490,0.05677,0.05296
0.15200,3.09772,-0.09462,-0.08304
0.15300,3.17727,0.08634,0.08510
0.15400,3.01904,-0.08965,-0.03147
0.15500,2.93841,-0.06404,0.00302
0.15600,2.94883,0.07750,0.05817
0.15700,2.82601,-0.10023,-0.09119
0.15800,2.85582,0.00651,0.08414
0.15900,2.73681,-0.01824,-0.00099
0.16000,2.58286,-0.05228,-0.08475
0.16100,2.65852,0.09598,0.10001
0.16200,2.41161,-0.05192,-0.05429
0.16300,2.38025,-0.00107,-0.03810
0.16400,2.33593,0.01174,0.09349
0.16500,2.17871,-0.10597,-0.01369
0.16600,2.19603,0.01440,0.06737
0.16700,2.11824,-0.02516,0.00585
0.16800,2.02079,-0.01079,-0.03290
0.16900,1.97513,0.00877,0.02275
0.17000,1.94548,-0.02981,-0.04563
0.17100,1.97245,-0.01484,0.04099
0.17200,2.00969,0.02504,0.03882
0.17300,1.89333,-0.05428,-0.06789
0.17400,2.01974,0.03535,0.08055
0.17500,1.92430,-0.06340,0.02394
0.17600,1.94360,0.00937,0.02255
0.17700,1.86370,0.01310,0.01925
0.17800,1.80157,0.00039,-0.02462
0.17900,1.76874,0.01948,-0.02303
0.18000,1.77233,-0.02885,0.00101
0.18100,1.75012,0.00390,0.03750
0.18200,1.60582,-0.00989,-0.04069
0.18300,1.48959,-0.00421,0.00494
0.18400,1.45051,0.00173,-0.00010
0.18500,1.44597,0.00788,0.00376
0.18600,1.33671,0.04555,0.05052
0.18700,1.24829,-0.07041,-0.01300
0.18800,1.17878,0.02438,0.05721
0.18900,1.04882,-0.03587,-0.00747
0.19000,1.04340,0.05321,-0.00145
0.19100,1.04556,0.02541,-0.00729
0.19200,0.99802,-0.05940,-0.03776
0.19300,1.02407,0.04461,0.06763
0.19400,0.96041,0.00740,-0.07670
0.19500,1.01269,0.02396,0.01942
0.19600,0.94261,0.02175,0.00142
0.19700,0.87970,-0.07329,-0.03255
0.19800,0.81438,0.04268,0.07413
0.19900,0.76386,-0.05657,-0.01162
0.20000,0.81886,-0.00520,0.04428
