# rc  dE(eV)
0.00000 0.00000
0.09968 0.04190
0.19936 0.21860
0.29904 0.42990
0.39873 0.57570
0.49842 0.63360
0.58196 0.59300
0.66551 0.48270
0.74909 0.32960
0.83271 0.14300
0.91635 0.02590
1.00000 0.00000
