# Time-averaged data for fix outmsd
# TimeStep c_msd[4]
0 6.46635e-29
100 0.871965
200 1.5406
300 2.20067
400 2.815
500 3.5844
600 4.40722
700 5.18753
800 6.11596
900 6.86006
1000 7.73546
1100 8.71398
1200 9.41374
1300 10.2801
1400 10.9956
1500 11.9047
1600 12.7335
1700 13.4644
1800 14.4134
1900 15.253
2000 16.098
2100 16.8054
2200 17.4745
2300 18.2011
2400 18.9181
2500 19.6665
2600 20.4345
2700 21.2044
2800 22.1059
2900 22.9028
3000 23.4755
3100 24.5432
3200 25.4488
3300 26.1982
3400 27.1703
3500 27.7228
3600 28.4735
3700 29.2137
3800 29.7898
3900 30.2771
4000 31.0184
4100 31.7321
4200 32.6591
4300 33.4495
4400 34.109
4500 34.6884
4600 35.4514
4700 36.199
4800 37.1572
4900 38.1262
5000 39.1648
5100 40.1746
5200 40.7667
5300 41.9855
5400 42.9021
5500 43.6033
5600 44.7596
5700 45.8792
5800 46.7912
5900 47.8582
6000 49.0772
6100 50.014
6200 50.9267
6300 51.5585
6400 52.269
6500 52.9036
6600 53.8937
6700 54.893
6800 55.587
6900 56.552
7000 57.2033
7100 58.1819
7200 58.804
7300 59.702
7400 60.3648
7500 61.2907
7600 61.8551
7700 62.2685
7800 62.7336
7900 63.6471
8000 64.2969
8100 64.7276
8200 65.7424
8300 66.4481
8400 67.3277
8500 68.3069
8600 69.172
8700 69.7821
8800 70.6976
8900 71.3543
9000 72.113
9100 72.9529
9200 73.8005
9300 74.6393
9400 75.285
9500 75.9305
9600 76.816
9700 77.5465
9800 78.2337
9900 78.8037
10000 80.2411
10100 81.0864
10200 81.8303
10300 82.752
10400 83.6792
10500 84.483
10600 85.3525
10700 85.5869
10800 85.7399
10900 86.2966
11000 86.7656
11100 88.1751
11200 89.1887
11300 89.7597
11400 90.3971
11500 90.8035
11600 91.7551
11700 92.0702
11800 92.8458
11900 93.7818
12000 94.3408
12100 95.5427
12200 96.7387
12300 97.1239
12400 98.1294
12500 98.6732
12600 99.5874
12700 100.397
12800 101.402
12900 102.455
13000 103.642
13100 103.833
13200 104.494
13300 104.954
13400 106.196
13500 107.128
13600 108.321
13700 109.217
13800 110.05
13900 110.734
14000 111.494
14100 112.274
14200 113.292
14300 113.875
14400 114.859
14500 115.725
14600 116.211
14700 116.959
14800 118.163
14900 119.132
15000 119.775
15100 120.952
15200 121.538
15300 122.324
15400 122.879
15500 123.379
15600 124.09
15700 125.118
15800 125.719
15900 126.184
16000 127.071
16100 128.476
16200 129.744
16300 130.605
16400 131.489
16500 132.872
16600 133.715
16700 134.624
16800 135.343
16900 135.83
17000 136.638
17100 137.173
17200 138.227
17300 139.356
17400 140.191
17500 141.497
17600 142.244
17700 143.092
17800 143.794
17900 144.523
18000 145.217
18100 146.304
18200 147.331
18300 148.43
18400 148.916
18500 149.835
18600 150.205
18700 151.463
18800 152.964
18900 154.253
19000 154.963
19100 155.452
19200 155.54
19300 156.87
19400 157.741
19500 158.855
19600 159.848
19700 161.417
19800 162.678
19900 163.921
20000 164.523
20100 165.433
20200 166.36
20300 167.994
20400 168.58
20500 169.649
20600 170.442
20700 171.72
20800 172.928
20900 174.054
21000 174.318
21100 175.052
21200 176.182
21300 177.55
21400 178.404
21500 179.033
21600 179.303
21700 180.205
21800 181.522
21900 182.589
22000 184.013
22100 184.642
22200 185.351
22300 185.87
22400 186.443
22500 186.911
22600 187.309
22700 188.136
22800 188.62
22900 189.286
23000 190.208
23100 191.483
23200 192.318
23300 193.225
23400 194.286
23500 194.873
23600 195.825
23700 196.897
23800 197.581
23900 197.855
24000 198.88
24100 199.714
24200 201.314
24300 202.924
24400 203.834
24500 204.775
24600 205.764
24700 206.255
24800 207.693
24900 208.21
25000 208.542
25100 208.803
25200 210.148
25300 211.337
25400 212.33
25500 213.06
25600 213.683
25700 214.188
25800 215.207
25900 215.376
26000 216.157
26100 217.039
26200 217.074
26300 217.459
26400 217.666
26500 217.664
26600 218.578
26700 219.249
26800 220.11
26900 220.941
27000 221.629
27100 222.75
27200 223.986
27300 224.271
27400 224.886
27500 225.273
27600 226.101
27700 226.446
27800 227.058
27900 227.065
28000 227.438
28100 228.224
28200 228.826
28300 229.993
28400 231.111
28500 231.838
28600 233.281
28700 234.351
28800 235.633
28900 236.606
29000 237.486
29100 237.981
29200 238.058
29300 238.824
29400 240.021
29500 240.832
29600 241.853
29700 243.493
29800 243.497
29900 244.451
30000 244.99
30100 245.337
30200 245.558
30300 246.717
30400 246.796
30500 247.657
30600 248.342
30700 248.804
30800 249.702
30900 250.419
31000 251.988
31100 252.68
31200 253.725
31300 254.125
31400 254.479
31500 255.707
31600 256.317
31700 257.239
31800 257.991
31900 258.046
32000 258.852
32100 259.436
32200 260.977
32300 261.936
32400 262.159
32500 263.817
32600 265.134
32700 265.96
32800 266.871
32900 267.118
33000 267.807
33100 268.965
33200 270.056
33300 270.519
33400 271.34
33500 272.735
33600 273.187
33700 273.731
33800 275.38
33900 276.742
34000 277.831
34100 279.088
34200 279.678
34300 280.159
34400 281.259
34500 281.726
34600 281.909
34700 282.332
34800 282.538
34900 283.747
35000 284.328
35100 285.193
35200 285.7
35300 286.243
35400 287.85
35500 288.969
35600 290.546
35700 291.121
35800 291.232
35900 291.621
36000 292.057
36100 293.427
36200 294.034
36300 294.603
36400 295.823
36500 296.544
36600 297.158
36700 297.688
36800 298.038
36900 298.629
37000 299.472
37100 299.742
37200 300.161
37300 300.881
37400 301.62
37500 302.778
37600 304.415
37700 304.712
37800 305.43
37900 305.86
38000 306.753
38100 307.116
38200 307.14
38300 308.139
38400 308.985
38500 309.503
38600 310.34
38700 310.966
38800 311.404
38900 311.23
39000 312.136
39100 312.809
39200 313.081
39300 313.173
39400 313.212
39500 314.048
39600 314.759
39700 315.603
39800 315.915
39900 316.204
40000 317.027
40100 317.594
40200 318.145
40300 319.395
40400 320.507
40500 321.22
40600 322.836
40700 323.956
40800 324.694
40900 325.516
41000 325.973
41100 327.222
41200 327.622
41300 327.42
41400 328.786
41500 328.959
41600 329.445
41700 330.876
41800 330.666
41900 331.361
42000 332.245
42100 333.962
42200 334.961
42300 335.939
42400 335.741
42500 335.922
42600 337.059
42700 337.365
42800 337.685
42900 338.621
43000 338.979
43100 339.32
43200 339.422
43300 339.034
43400 339.798
43500 340.621
43600 340.345
43700 341.835
43800 342.456
43900 343.128
44000 344.131
44100 345.125
44200 346.276
44300 347.013
44400 347.064
44500 347.827
44600 348.989
44700 349.716
44800 351.043
44900 352.294
45000 353.324
45100 354.091
45200 356.035
45300 356.809
45400 358.261
45500 358.551
45600 359.515
45700 360.278
45800 361.378
45900 362.358
46000 363.828
46100 364.744
46200 364.361
46300 365.764
46400 366.039
46500 367.261
46600 368.436
46700 369.814
46800 369.772
46900 370.38
47000 370.492
47100 370.57
47200 371.538
47300 371.792
47400 373.059
47500 374.399
47600 374.465
47700 375.389
47800 377.034
47900 377.57
