# Time-averaged data for fix outmsd
# TimeStep c_msd[4]
0 1.85264e-28
100 1.2242
200 2.42686
300 3.65906
400 4.969
500 6.46049
600 7.84559
700 9.07608
800 10.2172
900 11.4455
1000 12.7049
1100 13.8448
1200 15.0387
1300 16.0735
1400 17.2642
1500 18.4078
1600 19.4431
1700 20.6724
1800 21.7442
1900 23.0717
2000 24.3643
2100 25.6026
2200 26.8937
2300 28.192
2400 29.6226
2500 30.9376
2600 32.4941
2700 33.6722
2800 34.574
2900 35.3968
3000 36.4814
3100 37.492
3200 38.585
3300 39.7591
3400 41.348
3500 42.7972
3600 43.8738
3700 45.1973
3800 46.4153
3900 48.005
4000 49.3424
4100 50.6196
4200 51.8172
4300 53.0867
4400 54.2543
4500 55.6501
4600 57.0724
4700 58.5226
4800 59.8442
4900 60.7642
5000 61.8416
5100 62.6635
5200 64.0139
5300 64.9133
5400 66.2516
5500 67.6454
5600 68.621
5700 69.7259
5800 70.9674
5900 72.0106
6000 73.1685
6100 74.3374
6200 75.4806
6300 76.4712
6400 77.4486
6500 78.3951
6600 79.8309
6700 80.9666
6800 82.0478
6900 83.2839
7000 84.4771
7100 85.9258
7200 87.2045
7300 89.1132
7400 90.2465
7500 91.5756
7600 92.9418
7700 93.9028
7800 94.9926
7900 96.2873
8000 97.6299
8100 98.4685
8200 99.9813
8300 100.534
8400 101.529
8500 102.624
8600 103.627
8700 104.523
8800 105.742
8900 107.003
9000 108.008
9100 109.496
9200 110.822
9300 112.091
9400 113.536
9500 114.458
9600 115.725
9700 117.238
9800 119.042
9900 119.897
10000 121.043
10100 122.463
10200 123.677
10300 125.042
10400 126.489
10500 127.698
10600 129.241
10700 129.725
10800 130.849
10900 131.676
11000 132.747
11100 133.841
11200 134.701
11300 135.274
11400 137.1
11500 138.749
11600 139.673
11700 140.946
11800 141.853
11900 142.794
12000 143.826
12100 144.83
12200 146.159
12300 147.706
12400 149.479
12500 151.022
12600 152.478
12700 154.389
12800 155.959
12900 157.698
13000 158.615
13100 159.685
13200 161.061
13300 162.57
13400 163.41
13500 164.735
13600 165.575
13700 166.786
13800 167.807
13900 169.236
14000 170.777
14100 171.439
14200 172.993
14300 173.31
14400 174.716
14500 176.214
14600 177.924
14700 178.593
14800 179.491
14900 180.655
15000 182.154
15100 183.59
15200 184.805
15300 185.641
15400 186.739
15500 188.366
15600 189.099
15700 190.734
15800 192.701
15900 193.871
16000 195.107
16100 196.314
16200 197.469
16300 198.269
16400 199.85
16500 201.217
16600 201.665
16700 202.847
16800 204.012
16900 205.473
17000 207.613
17100 208.423
17200 209.745
17300 211.254
17400 212.201
17500 213.673
17600 214.959
17700 216.174
17800 217.779
17900 218.602
18000 220.013
18100 221.345
18200 222.45
18300 223.288
18400 224.694
18500 226.059
18600 226.801
18700 228.716
18800 230.318
18900 232.008
19000 234.021
19100 235.352
19200 236.65
19300 237.987
19400 239.304
19500 240.516
19600 242.38
19700 242.874
19800 242.972
19900 244.499
20000 245.863
20100 246.773
20200 248.327
20300 249.337
20400 250.133
20500 250.769
20600 252.457
20700 254.066
20800 256.062
20900 257.604
21000 258.351
21100 259.846
21200 261.139
21300 262.799
21400 263.836
21500 265.062
21600 265.475
21700 266.396
21800 267.649
21900 269.142
22000 270.804
22100 272.094
22200 274.017
22300 275.606
22400 276.757
22500 277.634
22600 279.05
22700 279.812
22800 280.292
22900 281.766
23000 283.395
23100 285.218
23200 286.394
23300 286.875
23400 288.935
23500 290.285
23600 291.29
23700 292.61
23800 293.8
23900 294.935
24000 296.496
24100 297.884
24200 299.217
24300 301.624
24400 302.442
24500 303.222
24600 304.705
24700 305.66
24800 306.32
24900 306.371
25000 307.118
25100 308.747
25200 309.388
25300 311.278
25400 312.013
25500 312.435
25600 313.804
25700 315.526
25800 317.227
25900 317.919
26000 318.98
26100 320.778
26200 321.879
26300 322.255
26400 323.31
26500 324.441
26600 326.524
26700 328.147
26800 328.884
26900 331.183
27000 333.006
27100 334.709
27200 334.849
27300 336.279
27400 337.398
27500 338.69
27600 340.359
27700 341.235
27800 341.852
27900 343.137
28000 344.157
28100 344.892
28200 346.33
28300 347.72
28400 349.209
28500 349.441
