# Time-averaged data for fix rec
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
20000 250
224 7.599 0.990606 72.9902
225 7.633 1.01607 74.0586
226 7.667 1.02898 75.1503
227 7.701 1.03864 76.2621
228 7.735 1.05129 77.3974
229 7.769 1.05956 78.5516
230 7.803 1.05246 79.7082
231 7.837 1.06599 80.8899
232 7.871 1.05822 82.0732
233 7.905 1.07349 83.2839
234 7.939 1.08377 84.5168
235 7.973 1.09589 85.7742
236 8.007 1.13693 87.0898
237 8.041 1.16007 88.4436
238 8.075 1.19615 89.8514
239 8.109 1.24579 91.3299
240 8.143 1.29903 92.8846
241 8.177 1.35488 94.5197
242 8.211 1.42393 96.2525
243 8.245 1.48145 98.0702
244 8.279 1.54686 99.9838
245 8.313 1.5994 101.979
246 8.347 1.64503 104.047
247 8.381 1.67318 106.169
248 8.415 1.68975 108.328
249 8.449 1.70135 110.52
250 8.483 1.67654 112.698
