# Time-averaged data for fix rec
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
20000 250
104 3.519 0.00149507 4.00051
105 3.553 0.00651419 4.00226
106 3.587 0.02967 4.01037
107 3.621 0.110814 4.04125
108 3.655 0.358888 4.14315
109 3.689 0.937329 4.41425
110 3.723 2.01913 5.00904
111 3.757 3.58405 6.08419
112 3.791 5.28358 7.69797
113 3.825 6.4517 9.70403
114 3.859 6.52265 11.7683
115 3.893 5.42402 13.5153
116 3.927 3.75908 14.7472
117 3.961 2.13939 15.4606
118 3.995 1.00966 15.803
119 4.029 0.392765 15.9385
120 4.063 0.126897 15.983
121 4.097 0.0364397 15.996
122 4.131 0.00954327 15.9995
123 4.165 0.0048981 16.0013
124 4.199 0.0112437 16.0055
125 4.233 0.0372594 16.0197
126 4.267 0.111985 16.063
127 4.301 0.285973 16.1754
128 4.335 0.644 16.4326
129 4.369 1.27231 16.9488
130 4.403 2.13211 17.8272
131 4.437 3.11531 19.1307
132 4.471 3.9263 20.7987
133 4.505 4.26183 22.6369
134 4.539 3.9986 24.3876
135 4.573 3.23482 25.8252
136 4.607 2.23757 26.8345
137 4.641 1.34312 27.4493
138 4.675 0.687971 27.7688
139 4.709 0.311763 27.9157
140 4.743 0.121033 27.9736
141 4.777 0.0384745 27.9922
142 4.811 0.0119091 27.9981
143 4.845 0.00285386 27.9995
144 4.879 0.000869265 27.9999
145 4.913 0.000112922 28
146 4.947 0 28
147 4.981 0 28
148 5.015 4.33592e-05 28
149 5.049 0.000128219 28.0001
150 5.083 0.000779937 28.0005
151 5.117 0.00305742 28.0022
152 5.151 0.0114729 28.0087
153 5.185 0.0345372 28.0284
154 5.219 0.0873299 28.079
155 5.253 0.194653 28.1931
156 5.287 0.373756 28.4152
157 5.321 0.64425 28.8028
158 5.355 0.955433 29.3851
159 5.389 1.24209 30.1517
160 5.423 1.40424 31.0294
161 5.457 1.38448 31.9056
162 5.491 1.18685 32.6661
163 5.525 0.8721 33.2318
164 5.559 0.566166 33.6036
165 5.593 0.323952 33.8189
166 5.627 0.16501 33.93
167 5.661 0.088375 33.9902
168 5.695 0.085131 34.0488
169 5.729 0.183461 34.1768
170 5.763 0.413878 34.469
171 5.797 0.83271 35.0637
172 5.831 1.41305 36.0848
173 5.865 2.03784 37.5745
174 5.899 2.4769 39.4063
175 5.933 2.57652 41.3338
176 5.967 2.27593 43.0559
177 6.001 1.70148 44.358
178 6.035 1.08514 45.1979
179 6.069 0.588528 45.6585
180 6.103 0.272124 45.8739
181 6.137 0.106353 45.959
182 6.171 0.0362737 45.9884
183 6.205 0.0107516 45.9972
184 6.239 0.00277103 45.9995
185 6.273 0.00109343 46.0004
186 6.307 0.00209487 46.0022
187 6.341 0.00866727 46.0096
188 6.375 0.0292657 46.0348
189 6.409 0.0873156 46.1111
190 6.443 0.225386 46.3099
191 6.477 0.513503 46.7678
192 6.511 1.01748 47.6845
193 6.545 1.754 49.2814
194 6.579 2.6 51.6731
195 6.613 3.36895 54.8042
196 6.647 3.78723 58.3603
197 6.681 3.71126 61.8808
198 6.715 3.13506 64.885
199 6.749 2.30622 67.1173
200 6.783 1.50191 68.5858
201 6.817 0.883961 69.4587
202 6.851 0.564929 70.0222
203 6.885 0.530208 70.5564
204 6.919 0.734454 71.3036
205 6.953 1.12086 72.4553
206 6.987 1.59184 74.1068
207 7.021 1.99818 76.2002
208 7.055 2.19176 78.5186
209 7.089 2.11067 80.7727
210 7.123 1.7732 82.6847
211 7.157 1.30728 84.1077
212 7.191 0.836755 85.0272
213 7.225 0.472688 85.5515
214 7.259 0.237097 85.817
215 7.293 0.103357 85.9338
216 7.327 0.0394179 85.9788
217 7.361 0.0149983 85.9961
218 7.395 0.0110139 86.0089
219 7.429 0.0228422 86.0356
220 7.463 0.0611102 86.108
221 7.497 0.149449 86.2865
222 7.531 0.310584 86.6609
223 7.565 0.56216 87.3447
224 7.599 0.882599 88.4278
225 7.633 1.18934 89.9005
226 7.667 1.4038 91.6542
227 7.701 1.42728 93.4531
228 7.735 1.27371 95.0726
229 7.769 1.00051 96.3559
230 7.803 0.736587 97.309
231 7.837 0.599645 98.0917
232 7.871 0.666461 98.9692
233 7.905 0.95439 100.237
234 7.939 1.42241 102.142
235 7.973 1.95847 104.788
236 8.007 2.38786 108.042
237 8.041 2.55285 111.549
238 8.075 2.38935 114.86
239 8.109 1.94994 117.585
240 8.143 1.38783 119.541
241 8.177 0.870914 120.778
242 8.211 0.475553 121.46
243 8.245 0.229163 121.791
244 8.279 0.103061 121.941
245 8.313 0.0603931 122.029
246 8.347 0.0785774 122.146
247 8.381 0.167307 122.396
248 8.415 0.348741 122.92
249 8.449 0.652617 123.911
250 8.483 1.07078 125.548
