# Time-averaged data for fix rec
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
20000 250
1 0.017 0 0
2 0.051 0 0
3 0.085 0 0
4 0.119 0 0
5 0.153 0 0
6 0.187 0 0
7 0.221 0 0
8 0.255 0 0
9 0.289 0 0
10 0.323 0 0
11 0.357 0 0
12 0.391 0 0
13 0.425 0 0
14 0.459 0 0
15 0.493 0 0
16 0.527 0 0
17 0.561 0 0
18 0.595 0 0
19 0.629 0 0
20 0.663 0 0
21 0.697 0 0
22 0.731 0 0
23 0.765 0 0
24 0.799 0 0
25 0.833 0 0
26 0.867 0 0
27 0.901 0 0
28 0.935 0 0
29 0.969 0 0
30 1.003 0 0
31 1.037 0 0
32 1.071 0 0
33 1.105 0 0
34 1.139 0 0
35 1.173 0 0
36 1.207 0 0
37 1.241 0 0
38 1.275 0 0
39 1.309 0 0
40 1.343 0 0
41 1.377 0 0
42 1.411 0 0
43 1.445 0 0
44 1.479 0 0
45 1.513 0 0
46 1.547 0 0
47 1.581 0 0
48 1.615 0 0
49 1.649 0 0
50 1.683 0 0
51 1.717 0 0
52 1.751 0 0
53 1.785 0 0
54 1.819 0 0
55 1.853 0 0
56 1.887 0 0
57 1.921 0 0
58 1.955 0 0
59 1.989 0 0
60 2.023 0.000110559 9.76563e-06
61 2.057 0.00138824 0.000136719
62 2.091 0.00329935 0.000449219
63 2.125 0.0103853 0.00146484
64 2.159 0.0250708 0.00399414
65 2.193 0.0627617 0.0105273
66 2.227 0.124795 0.0239258
67 2.261 0.221997 0.0484961
68 2.295 0.352782 0.0887207
69 2.329 0.515935 0.149307
70 2.363 0.667129 0.229951
71 2.397 0.840546 0.334502
72 2.431 1.00805 0.463467
73 2.465 1.17697 0.618291
74 2.499 1.34406 0.80001
75 2.533 1.54678 1.01486
76 2.567 1.71981 1.2602
77 2.601 1.88237 1.53588
78 2.635 2.01903 1.83937
79 2.669 2.13521 2.16863
80 2.703 2.2112 2.51838
81 2.737 2.25176 2.88355
82 2.771 2.2802 3.26258
83 2.805 2.26095 3.64769
84 2.839 2.20416 4.03227
85 2.873 2.13659 4.41405
86 2.907 2.08076 4.79471
87 2.941 2.00387 5.16992
88 2.975 1.90921 5.53572
89 3.009 1.82454 5.89333
90 3.043 1.71368 6.23684
91 3.077 1.61465 6.56777
92 3.111 1.51898 6.88602
