# Time-averaged data for fix rec
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
20000 250
1 0.017 0 0
2 0.051 0 0
3 0.085 0 0
4 0.119 0 0
5 0.153 0 0
6 0.187 0 0
7 0.221 0 0
8 0.255 0 0
9 0.289 0 0
10 0.323 0 0
11 0.357 0 0
12 0.391 0 0
13 0.425 0 0
14 0.459 0 0
15 0.493 0 0
16 0.527 0 0
17 0.561 0 0
18 0.595 0 0
19 0.629 0 0
20 0.663 0 0
21 0.697 0 0
22 0.731 0 0
23 0.765 0 0
24 0.799 0 0
25 0.833 0 0
26 0.867 0 0
27 0.901 0 0
28 0.935 0 0
29 0.969 0 0
30 1.003 0 0
31 1.037 0 0
32 1.071 0 0
33 1.105 0 0
34 1.139 0 0
35 1.173 0 0
36 1.207 0 0
37 1.241 0 0
38 1.275 0 0
39 1.309 0 0
40 1.343 0 0
41 1.377 0 0
42 1.411 0 0
43 1.445 0 0
44 1.479 0 0
45 1.513 0 0
46 1.547 0 0
47 1.581 0 0
48 1.615 0 0
49 1.649 0 0
50 1.683 0 0
51 1.717 0 0
52 1.751 0 0
53 1.785 0 0
54 1.819 0 0
55 1.853 0 0
56 1.887 0 0
57 1.921 0 0
58 1.955 0 0
59 1.989 0.000528854 2.5e-05
60 2.023 0.000509348 5e-05
61 2.057 0 5e-05
62 2.091 0 5e-05
63 2.125 0.00184133 0.00015
64 2.159 0.000442966 0.000175
65 2.193 0.00173262 0.000275
66 2.227 0.00336727 0.000475
67 2.261 0.00443765 0.00075
68 2.295 0.0113615 0.001475
69 2.329 0.015612 0.0025
70 2.363 0.0259347 0.00425
71 2.397 0.0464362 0.007475
72 2.431 0.0769676 0.012975
73 2.465 0.0991167 0.02025
74 2.499 0.15666 0.032075
75 2.533 0.205888 0.04805
76 2.567 0.288738 0.07105
77 2.601 0.374638 0.101675
78 2.635 0.529855 0.14615
79 2.669 0.66513 0.203425
80 2.703 0.855847 0.279025
81 2.737 1.03341 0.372625
82 2.771 1.31495 0.494675
83 2.805 1.51456 0.638725
84 2.839 1.75541 0.809775
85 2.873 2.00429 1.0097
86 2.907 2.23923 1.23845
87 2.941 2.50695 1.5006
88 2.975 2.60962 1.77975
89 3.009 2.73246 2.07882
90 3.043 2.78325 2.39035
91 3.077 2.85821 2.71747
92 3.111 2.8258 3.04802
