# Time-averaged data for fix rec
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
20000 250
220 7.463 1.18782 149.98
221 7.497 1.16065 152.298
222 7.531 1.11564 154.545
223 7.565 1.05099 156.682
224 7.599 0.966688 158.665
225 7.633 0.867234 160.46
226 7.667 0.761307 162.05
227 7.701 0.65991 163.44
228 7.735 0.562897 164.637
229 7.769 0.48074 165.667
230 7.803 0.408186 166.55
231 7.837 0.360421 167.337
232 7.871 0.322242 168.046
233 7.905 0.30653 168.726
234 7.939 0.309633 169.42
235 7.973 0.327335 170.159
236 8.007 0.357294 170.973
237 8.041 0.395668 171.882
238 8.075 0.44707 172.917
239 8.109 0.509616 174.108
240 8.143 0.579103 175.472
241 8.177 0.662136 177.045
242 8.211 0.758495 178.862
243 8.245 0.865727 180.952
244 8.279 0.990646 183.365
245 8.313 1.12815 186.135
246 8.347 1.2769 189.295
247 8.381 1.42387 192.848
248 8.415 1.57461 196.81
249 8.449 1.70863 201.143
250 8.483 1.82538 205.81
