# Time-averaged data for fix rec
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
20000 250
218 7.395 0.977796 86.8748
219 7.429 0.983193 88.0693
220 7.463 0.989047 89.282
221 7.497 0.984165 90.4997
222 7.531 0.987298 91.7324
223 7.565 0.99355 92.9841
224 7.599 0.991996 94.2452
225 7.633 0.990963 95.5162
226 7.667 0.990041 96.7973
227 7.701 0.997116 98.0991
228 7.735 1.00762 99.4262
229 7.769 1.00007 100.755
230 7.803 0.996675 102.091
231 7.837 0.997484 103.44
232 7.871 0.998757 104.802
233 7.905 1.00818 106.189
234 7.939 1.00602 107.585
235 7.973 1.00696 108.994
236 8.007 1.00154 110.407
237 8.041 1.00352 111.836
238 8.075 1.00674 113.281
239 8.109 1.00147 114.73
240 8.143 1.01056 116.205
241 8.177 1.00252 117.681
242 8.211 1.00853 119.178
243 8.245 1.0084 120.687
244 8.279 1.01197 122.214
245 8.313 1.00514 123.743
246 8.347 1.00322 125.282
247 8.381 1.00477 126.835
248 8.415 1.01392 128.416
249 8.449 1.0089 130.001
250 8.483 1.00494 131.593
