# Time-averaged data for fix rec
# TimeStep Number-of-rows
# Row c_gr[1] c_gr[2] c_gr[3]
20000 250
221 7.497 1.6146 96.1136
222 7.531 1.80386 98.6477
223 7.565 1.95994 101.426
224 7.599 2.0755 104.394
225 7.633 2.15444 107.504
226 7.667 2.16429 110.655
227 7.701 2.14363 113.803
228 7.735 2.05228 116.845
229 7.769 1.92586 119.724
230 7.803 1.7636 122.383
231 7.837 1.57908 124.785
232 7.871 1.38655 126.913
233 7.905 1.19046 128.755
234 7.939 1.01643 130.342
235 7.973 0.854343 131.687
236 8.007 0.722658 132.835
237 8.041 0.610334 133.812
238 8.075 0.52625 134.662
239 8.109 0.465551 135.42
240 8.143 0.426938 136.121
241 8.177 0.401954 136.787
242 8.211 0.393689 137.445
243 8.245 0.401277 138.12
244 8.279 0.424399 138.841
245 8.313 0.45709 139.623
246 8.347 0.509753 140.503
247 8.381 0.579804 141.511
248 8.415 0.653437 142.658
249 8.449 0.745726 143.976
250 8.483 0.849249 145.49
