# Chunk-averaged data for fix prof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
60000 20 17280
  1 0.025 865.21 281.683
  2 0.075 864.43 290.258
  3 0.125 864.63 294.775
  4 0.175 864.91 295.789
  5 0.225 863.68 298.464
  6 0.275 864.86 298.937
  7 0.325 863.6 300.567
  8 0.375 863.59 306.368
  9 0.425 863.39 306.776
  10 0.475 863.26 311.701
  11 0.525 863.1 319.38
  12 0.575 863.21 318.446
  13 0.625 863.41 308.708
  14 0.675 863.62 301.796
  15 0.725 863.78 299.251
  16 0.775 864.07 298.45
  17 0.825 864.26 295.61
  18 0.875 864.11 298.354
  19 0.925 864.74 292.097
  20 0.975 864.14 288.556
70000 20 17280
  1 0.025 864.94 283.284
  2 0.075 865.06 289.148
  3 0.125 863.8 298.209
  4 0.175 864.41 301.213
  5 0.225 863.78 304.237
  6 0.275 864.08 304.473
  7 0.325 864.53 305.654
  8 0.375 863.77 307.072
  9 0.425 862.68 307.997
  10 0.475 863.55 312.237
  11 0.525 862.74 318.353
  12 0.575 863.55 308.509
  13 0.625 863.76 303.736
  14 0.675 863.66 298.957
  15 0.725 864.04 299.604
  16 0.775 864.33 295.435
  17 0.825 864.33 291.37
  18 0.875 863.86 292.865
  19 0.925 864.13 293.033
  20 0.975 865 287.299
80000 20 17280
  1 0.025 864.48 284.028
  2 0.075 864.89 289.525
  3 0.125 863.98 298.884
  4 0.175 864.57 300.091
  5 0.225 863.47 300.604
  6 0.275 863.64 303.718
  7 0.325 863.5 304.483
  8 0.375 864.18 301.626
  9 0.425 862.93 307.476
  10 0.475 863.48 312.882
  11 0.525 863.13 321.869
  12 0.575 863.49 312.596
  13 0.625 863.94 302.333
  14 0.675 864.13 299.287
  15 0.725 863.82 299.067
  16 0.775 865.21 300.857
  17 0.825 863.84 295.76
  18 0.875 863.8 294.772
  19 0.925 865.47 290.121
  20 0.975 864.05 285.738
90000 20 17279.999999999996
  1 0.025 864.46 283.003
  2 0.075 864.76 291.992
  3 0.125 864.34 297.457
  4 0.175 864.81 295.602
  5 0.225 864.5 298.279
  6 0.275 864.23 300.217
  7 0.325 864 299.316
  8 0.375 863.94 304.36
  9 0.425 863.95 304.984
  10 0.475 862.93 311.067
  11 0.525 863.41 319.218
  12 0.575 863.04 310.061
  13 0.625 863.21 306.242
  14 0.675 863.57 301.958
  15 0.725 862.72 310.67
  16 0.775 864.43 301.58
  17 0.825 864.17 295.315
  18 0.875 864.01 292.371
  19 0.925 865.29 290.982
  20 0.975 864.23 284.257
100000 20 17280
  1 0.025 864.86 285.381
  2 0.075 864.15 292.934
  3 0.125 864.63 293.411
  4 0.175 863.73 294.232
  5 0.225 863 296.333
  6 0.275 863.79 298.859
  7 0.325 863.96 299.998
  8 0.375 863.56 304.361
  9 0.425 863.67 307.065
  10 0.475 863.27 310.33
  11 0.525 862.66 324.601
  12 0.575 863.49 314.245
  13 0.625 864.52 311.697
  14 0.675 864.13 306.687
  15 0.725 864.09 300.605
  16 0.775 864.32 296.961
  17 0.825 864.76 294.968
  18 0.875 864.65 293.85
  19 0.925 864.07 292.457
  20 0.975 864.69 288.251
110000 20 17280.000000000004
  1 0.025 865.89 278.508
  2 0.075 865.01 288.698
  3 0.125 864.51 292.672
  4 0.175 864.7 294.859
  5 0.225 864.44 295.291
  6 0.275 863.98 298.329
  7 0.325 863.72 304.76
  8 0.375 864 306.499
  9 0.425 864.03 307.983
  10 0.475 862.93 308.739
  11 0.525 862.96 320.371
  12 0.575 862.53 311.134
  13 0.625 863.24 311.025
  14 0.675 863.78 305.161
  15 0.725 863.28 301.027
  16 0.775 863.7 299.991
  17 0.825 864.41 298.708
  18 0.875 864.15 300.136
  19 0.925 864.25 291.428
  20 0.975 864.49 290.139
120000 20 17280
  1 0.025 864.69 280.584
  2 0.075 864.39 285.959
  3 0.125 864.61 291.119
  4 0.175 862.38 299.825
  5 0.225 865.06 299.931
  6 0.275 863.59 300.504
  7 0.325 864.78 302.819
  8 0.375 863.2 301.839
  9 0.425 863.82 307.124
  10 0.475 863.88 311.152
  11 0.525 863.44 323.77
  12 0.575 863.27 315.048
  13 0.625 864.1 307.032
  14 0.675 864.11 299.431
  15 0.725 864.49 298.576
  16 0.775 863.15 300.383
  17 0.825 864.1 301.071
  18 0.875 863.82 299.007
  19 0.925 864.55 290.844
  20 0.975 864.57 287.28
130000 20 17280.000000000004
  1 0.025 865.12 282.552
  2 0.075 865.02 288.629
  3 0.125 864.9 293.997
  4 0.175 864.29 297.671
  5 0.225 864.3 294.869
  6 0.275 863.3 304.473
  7 0.325 864.14 303.482
  8 0.375 862.92 305.92
  9 0.425 863.62 307.993
  10 0.475 863.39 311.345
  11 0.525 863.32 323.955
  12 0.575 862.17 314.172
  13 0.625 863.07 304.018
  14 0.675 863.4 300.539
  15 0.725 864.52 299.336
  16 0.775 864.45 300.589
  17 0.825 864.09 295.331
  18 0.875 864.26 298.29
  19 0.925 864.48 290.7
  20 0.975 865.24 288.31
