# Chunk-averaged data for fix prof and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
60000 20 11520
  1 0.025 576.65 284.393
  2 0.075 576.04 289.2
  3 0.125 576.23 296.091
  4 0.175 575.49 301.453
  5 0.225 576.03 299.667
  6 0.275 575.91 302.908
  7 0.325 576.02 299.308
  8 0.375 576.14 304.273
  9 0.425 576.47 305.328
  10 0.475 575.03 308.892
  11 0.525 575.53 320.243
  12 0.575 575.9 311.527
  13 0.625 575.92 303.569
  14 0.675 575.27 303.979
  15 0.725 576.32 302.32
  16 0.775 576.26 297.734
  17 0.825 576.16 298.102
  18 0.875 576.12 299.932
  19 0.925 575.98 296.515
  20 0.975 576.53 292.241
70000 20 11520.000000000002
  1 0.025 578.32 284.084
  2 0.075 575.24 291.129
  3 0.125 576.8 292.656
  4 0.175 576.22 298.377
  5 0.225 576.08 299.687
  6 0.275 575.75 303.596
  7 0.325 575.89 301.3
  8 0.375 575.69 304.149
  9 0.425 575.44 313.266
  10 0.475 575.96 310.381
  11 0.525 574.83 320.979
  12 0.575 575.72 312.079
  13 0.625 576.18 305.064
  14 0.675 576.02 303.779
  15 0.725 575.12 303.969
  16 0.775 575.94 301.587
  17 0.825 576.33 296.474
  18 0.875 576.33 291.969
  19 0.925 576.73 292.467
  20 0.975 575.41 293.459
80000 20 11519.999999999996
  1 0.025 576.7 282.073
  2 0.075 576.49 286.528
  3 0.125 576.54 293.672
  4 0.175 576.14 304.67
  5 0.225 576.36 301.618
  6 0.275 576.1 303.805
  7 0.325 576.38 301.91
  8 0.375 575.04 305.398
  9 0.425 576.56 309.445
  10 0.475 575.28 310.298
  11 0.525 575.16 323.442
  12 0.575 574.78 307.927
  13 0.625 576.07 307.128
  14 0.675 576.14 300.77
  15 0.725 575.85 300.512
  16 0.775 576.33 299.416
  17 0.825 575.18 298.307
  18 0.875 576.05 297.19
  19 0.925 576.13 295.901
  20 0.975 576.72 286.352
90000 20 11520.000000000002
  1 0.025 575.91 282.638
  2 0.075 575.56 295.086
  3 0.125 576.2 292.775
  4 0.175 575.67 294.573
  5 0.225 576.16 294.126
  6 0.275 576.17 297.511
  7 0.325 575.42 297.018
  8 0.375 576.37 301.002
  9 0.425 575.84 308.008
  10 0.475 574.69 314.553
  11 0.525 575.72 332.557
  12 0.575 575.12 310.801
  13 0.625 576.78 305.865
  14 0.675 576 299.246
  15 0.725 575.97 307.185
  16 0.775 575.95 300.219
  17 0.825 576.52 297.081
  18 0.875 575.94 299.603
  19 0.925 576.94 297.278
  20 0.975 577.07 295.761
100000 20 11520.000000000004
  1 0.025 576.1 287.776
  2 0.075 576.87 292.322
  3 0.125 575.69 295.265
  4 0.175 577.12 298.067
  5 0.225 575.33 300.056
  6 0.275 576.09 303.668
  7 0.325 575.91 305.952
  8 0.375 575.46 304.302
  9 0.425 576.1 304.223
  10 0.475 575.42 309.214
  11 0.525 575.87 320.014
  12 0.575 574.8 307.73
  13 0.625 576.88 304.134
  14 0.675 575.48 301.212
  15 0.725 576.19 299.743
  16 0.775 575.5 302.5
  17 0.825 576.29 295.775
  18 0.875 576 294.188
  19 0.925 575.12 297.248
  20 0.975 577.78 293.956
110000 20 11520
  1 0.025 575.32 289.62
  2 0.075 576.13 296.965
  3 0.125 576.1 300.828
  4 0.175 576.29 299.605
  5 0.225 576.21 304.346
  6 0.275 575.09 301.794
  7 0.325 577.3 295.397
  8 0.375 575.24 302.316
  9 0.425 576.75 307.334
  10 0.475 575.06 305.381
  11 0.525 576.22 320.012
  12 0.575 575.12 310.161
  13 0.625 575.45 305.131
  14 0.675 575.97 300.068
  15 0.725 575.57 296.724
  16 0.775 576.94 301.312
  17 0.825 575.64 297.359
  18 0.875 576.51 294.18
  19 0.925 575.87 295.304
  20 0.975 577.22 293.937
120000 20 11520
  1 0.025 576.14 284.368
  2 0.075 576.34 290.913
  3 0.125 576.64 292.926
  4 0.175 576.24 298.058
  5 0.225 577.04 300.046
  6 0.275 574.7 302.562
  7 0.325 576.91 303.674
  8 0.375 574.67 302.874
  9 0.425 577.97 300.784
  10 0.475 574.7 314.202
  11 0.525 575.56 331.4
  12 0.575 575 312.241
  13 0.625 576.33 300.788
  14 0.675 575.88 301.959
  15 0.725 575.15 299.91
  16 0.775 576.52 300.076
  17 0.825 575.55 294.353
  18 0.875 575.96 297.886
  19 0.925 575.6 297.336
  20 0.975 577.1 292.905
130000 20 11519.999999999998
  1 0.025 576.55 283.601
  2 0.075 576.58 295.289
  3 0.125 575.87 293.6
  4 0.175 576 296.127
  5 0.225 576.73 297.685
  6 0.275 575.74 299.969
  7 0.325 575.51 306.084
  8 0.375 575.6 307.312
  9 0.425 575.58 306.164
  10 0.475 576.09 308.448
  11 0.525 575.52 324.157
  12 0.575 574.88 312.682
  13 0.625 576.31 306.534
  14 0.675 575.82 301.463
  15 0.725 576.29 299.088
  16 0.775 576.09 295.936
  17 0.825 576.21 299.285
  18 0.875 576.11 297.743
  19 0.925 576.22 294.948
  20 0.975 576.3 291.729
