depth_Ang,load_eV_per_Ang
0.0000,0.00000
0.0400,0.00000
0.0800,0.00000
0.1200,0.00000
0.1600,0.00000
0.2000,0.00000
0.2400,0.00000
0.2800,0.00000
0.3200,0.00000
0.3600,0.00000
0.4000,0.00000
0.4400,0.00000
0.4800,0.00000
0.5200,0.00000
0.5600,0.06685
0.6000,0.00024
0.6400,0.45063
0.6800,1.25386
0.7200,0.00322
0.7600,0.50189
0.8000,0.00000
0.8400,0.96245
0.8800,0.86633
0.9200,1.53263
0.9600,1.01906
1.0000,2.13794
1.0400,1.23201
1.0800,0.84109
1.1200,1.68624
1.1600,2.87056
1.2000,1.75145
1.2400,3.90947
1.2800,1.51867
1.3200,1.14824
1.3600,3.43662
1.4000,1.78683
1.4400,2.21104
1.4800,3.69190
1.5200,4.50489
1.5600,3.02678
1.6000,4.74511
1.6400,4.29829
1.6800,5.68779
1.7200,3.96989
1.7600,4.91792
1.8000,5.50849
1.8400,7.19841
1.8800,4.53571
1.9200,7.83382
1.9600,6.13982
2.0000,4.09077
2.0400,5.20021
2.0800,5.92271
2.1200,4.74965
2.1600,5.65938
2.2000,7.65678
2.2400,11.57047
2.2800,6.52797
2.3200,6.48123
2.3600,12.87599
2.4000,8.03768
2.4400,11.77067
2.4800,11.44105
2.5200,8.48981
2.5600,6.90829
2.6000,6.99682
2.6400,12.06817
2.6800,4.67888
2.7200,9.33953
2.7600,8.18520
2.8000,9.76657
2.8400,8.25606
2.8800,9.47377
2.9200,9.71454
2.9600,14.74963
3.0000,14.48860
3.0400,11.07601
3.0800,16.77341
3.1200,18.81472
3.1600,17.80901
3.2000,17.35809
3.2400,15.02349
3.2800,15.86899
3.3200,13.58134
3.3600,18.32032
3.4000,15.75614
3.4400,13.94841
3.4800,15.47928
3.5200,14.01580
3.5600,14.12872
3.6000,17.06118
3.6400,13.96359
3.6800,15.15189
3.7200,12.13495
3.7600,19.88785
3.8000,16.51505
3.8400,13.41912
3.8800,19.52474
3.9200,23.40149
3.9600,17.72958
4.0000,14.25934
4.0400,21.80329
4.0800,24.85562
4.1200,21.44867
4.1600,23.15984
4.2000,19.79206
4.2400,20.14064
4.2800,26.22715
4.3200,15.96113
4.3600,23.01116
4.4000,18.85189
4.4400,24.83880
4.4800,23.41736
4.5200,22.22602
4.5600,22.06247
4.6000,31.65638
4.6400,21.81219
4.6800,27.66246
4.7200,31.16617
4.7600,22.52593
4.8000,29.97364
4.8400,27.97339
4.8800,17.21450
4.9200,21.77409
4.9600,32.11529
5.0000,33.35409
5.0400,29.46259
5.0800,23.46946
5.1200,23.91930
5.1600,33.64356
5.2000,18.32518
5.2400,24.31102
5.2800,30.36055
5.3200,25.93717
5.3600,25.22404
5.4000,27.74223
5.4400,35.14082
5.4800,26.10417
5.5200,33.10218
5.5600,31.53552
5.6000,31.24212
5.6400,34.76977
5.6800,24.04965
5.7200,32.95600
5.7600,33.15178
5.8000,23.16240
5.8400,33.87711
5.8800,42.44540
5.9200,34.91881
5.9600,25.03426
6.0000,32.19750
6.0400,25.50177
6.0800,31.02652
6.1200,40.30517
6.1600,23.69780
6.2000,32.53538
6.2400,23.34892
6.2800,31.65105
6.3200,20.65039
6.3600,24.98684
6.4000,27.98206
6.4400,28.92810
6.4800,28.70922
6.5200,39.89216
6.5600,26.48645
6.6000,23.27703
6.6400,28.38091
6.6800,30.34852
6.7200,27.22933
6.7600,30.01340
6.8000,25.24300
6.8400,29.49445
6.8800,31.61392
6.9200,29.02490
6.9600,29.34988
7.0000,25.36033
7.0400,32.40726
7.0800,27.56454
7.1200,27.46651
7.1600,38.43547
7.2000,32.69283
7.2400,28.04716
7.2800,24.24532
7.3200,34.74232
7.3600,40.74692
7.4000,35.79131
7.4400,32.83248
7.4800,37.65017
7.5200,37.65221
7.5600,34.69732
7.6000,23.19706
7.6400,29.62854
7.6800,39.90416
7.7200,36.17581
7.7600,32.27836
7.8000,29.85063
7.8400,33.23426
7.8800,40.65216
7.9200,34.55925
7.9600,29.85173
8.0000,42.26982
8.0400,30.96698
8.0800,37.62364
8.1200,35.86418
8.1600,33.40656
8.2000,37.27035
8.2400,40.22298
8.2800,40.68954
8.3200,39.08345
8.3600,35.19278
8.4000,28.80208
8.4400,29.44370
8.4800,26.80378
8.5200,28.90891
8.5600,37.69588
8.6000,43.81712
8.6400,39.88950
8.6800,42.41926
8.7200,36.31340
8.7600,38.18079
8.8000,45.02753
8.8400,50.10737
8.8800,48.92874
8.9200,49.72545
8.9600,34.71201
9.0000,47.40687
9.0400,46.64251
9.0800,26.40575
9.1200,45.40719
9.1600,48.24362
9.2000,42.57269
9.2400,49.65436
9.2800,43.91584
9.3200,44.73935
9.3600,48.69222
9.4000,42.23788
9.4400,50.33099
9.4800,41.43896
9.5200,50.27069
9.5600,58.63014
9.6000,46.42206
9.6400,48.82990
9.6800,43.73902
9.7200,49.41013
9.7600,51.39426
9.8000,58.01987
9.8400,46.95487
9.8800,50.92066
9.9200,57.93717
9.9600,49.91523
10.0000,52.63101
