# Time-averaged data for fix rec
# TimeStep v_t c_fr[1] c_fr[2]
4680 4.63895 7 7
4700 4.65895 7 7
4720 4.67895 7 7
4740 4.69895 7 7
4760 4.71895 7 7
4780 4.73895 7 7
4800 4.75895 7 7
4820 4.77895 7 7
4840 4.79895 7 7
4860 4.81895 7 7
4880 4.83895 7 7
4900 4.85895 7 7
4920 4.87895 7 7
4940 4.89895 7 7
4960 4.91895 7 7
4980 4.93895 7 7
5000 4.95895 7 7
5020 4.97895 7 7
5040 4.99895 7 7
5060 5.01895 7 7
5080 5.03895 7 7
5100 5.05895 7 7
5120 5.07895 7 7
5140 5.09895 7 7
5160 5.11895 7 7
5180 5.13895 7 7
5200 5.15895 7 7
5220 5.17895 7 7
5240 5.19895 7 7
5260 5.21895 7 7
5280 5.23895 7 7
5300 5.25895 7 7
5320 5.27895 7 7
5340 5.29895 7 7
5360 5.31895 7 7
5380 5.33895 7 7
5400 5.35895 7 7
5420 5.37895 7 7
5440 5.39895 7 7
5460 5.41895 7 7
5480 5.43895 7 7
5500 5.45895 7 7
5520 5.47895 7 7
5540 5.49895 7 7
5560 5.51895 7 7
5580 5.53895 7 7
5600 5.55895 7 7
5620 5.57895 7 7
5640 5.59895 7 7
5660 5.61895 7 7
5680 5.63895 7 7
5700 5.65895 7 7
5720 5.67895 7 7
5740 5.69895 7 7
5760 5.71895 7 7
5780 5.73895 7 7
5800 5.75895 7 7
5820 5.77895 7 7
5840 5.79895 7 7
5860 5.81895 7 7
5880 5.83895 7 7
5900 5.85895 7 7
5920 5.87895 7 7
5940 5.89895 7 7
5960 5.91895 7 7
5980 5.93895 7 7
6000 5.95895 7 7
6020 5.97895 7 7
6040 5.99895 7 7
6060 6.01895 7 7
6080 6.03895 7 7
6100 6.05895 7 7
6120 6.07895 7 7
6140 6.09895 7 7
6160 6.11895 7 7
6180 6.13895 7 7
6200 6.15895 7 7
6220 6.17895 7 7
6240 6.19895 7 7
6260 6.21895 7 7
6280 6.23895 7 7
6300 6.25895 7 7
6320 6.27895 7 7
6340 6.29895 7 7
6360 6.31895 7 7
6380 6.33895 7 7
6400 6.35895 7 7
6420 6.37895 7 7
6440 6.39895 7 7
6460 6.41895 7 7
6480 6.43895 7 7
6500 6.45895 7 7
6520 6.47895 7 7
6540 6.49895 7 7
6560 6.51895 7 7
6580 6.53895 7 7
6600 6.55895 7 7
6620 6.57895 7 7
6640 6.59895 7 7
6660 6.61895 7 7
6680 6.63895 7 7
6700 6.65895 7 7
6720 6.67895 7 7
6740 6.69895 7 7
6760 6.71895 7 7
6780 6.73895 7 7
6800 6.75895 7 7
6820 6.77895 7 7
6840 6.79895 7 7
6860 6.81895 7 7
6880 6.83895 7 7
6900 6.85895 7 7
6920 6.87895 7 7
6940 6.89895 7 7
6960 6.91895 7 7
6980 6.93895 7 7
7000 6.95895 7 7
7020 6.97895 7 7
7040 6.99895 7 7
7060 7.01895 7 7
7080 7.03895 7 7
7100 7.05895 7 7
7120 7.07895 7 7
7140 7.09895 7 7
7160 7.11895 7 7
7180 7.13895 7 7
7200 7.15895 7 7
7220 7.17895 7 7
7240 7.19895 7 7
7260 7.21895 7 7
7280 7.23895 7 7
7300 7.25895 7 7
7320 7.27895 7 7
7340 7.29895 7 7
7360 7.31895 7 7
7380 7.33895 7 7
7400 7.35895 7 7
7420 7.37895 7 7
7440 7.39895 7 7
7460 7.41895 7 7
7480 7.43895 7 7
7500 7.45895 7 7
7520 7.47895 7 7
7540 7.49895 7 7
7560 7.51895 7 7
7580 7.53895 7 7
7600 7.55895 7 7
7620 7.57895 8 8
7640 7.59895 7 7
7660 7.61895 7 6
7680 7.63895 7 7
7700 7.65895 7 7
7720 7.67895 7 7
7740 7.69895 7 7
7760 7.71895 7 7
7780 7.73895 7 7
7800 7.75895 7 7
7820 7.77895 7 7
7840 7.79895 7 7
7860 7.81895 7 7
7880 7.83895 7 7
7900 7.85895 7 7
7920 7.87895 7 7
7940 7.89895 7 7
7960 7.91895 7 7
7980 7.93895 7 7
8000 7.95895 7 7
8020 7.97895 7 7
8040 7.99895 7 7
8060 8.01895 7 7
8080 8.03895 7 7
8100 8.05895 7 7
8120 8.07895 7 7
8140 8.09895 7 7
8160 8.11895 7 7
8180 8.13895 7 7
8200 8.15895 7 7
8220 8.17895 7 7
8240 8.19895 7 7
8260 8.21895 7 7
8280 8.23895 7 7
8300 8.25895 7 7
8320 8.27895 7 7
8340 8.29895 7 7
8360 8.31895 7 7
8380 8.33895 7 7
8400 8.35895 7 7
8420 8.37895 7 7
8440 8.39895 7 7
8460 8.41895 7 7
8480 8.43895 7 7
8500 8.45895 7 7
8520 8.47895 7 7
8540 8.49895 7 7
8560 8.51895 7 7
8580 8.53895 7 7
8600 8.55895 7 7
8620 8.57895 7 7
8640 8.59895 7 7
8660 8.61895 7 7
8680 8.63895 7 7
8700 8.65895 7 7
8720 8.67895 7 7
8740 8.69895 7 7
8760 8.71895 7 7
8780 8.73895 7 7
8800 8.75895 7 7
8820 8.77895 7 7
8840 8.79895 7 7
8860 8.81895 7 7
8880 8.83895 7 7
8900 8.85895 7 7
8920 8.87895 7 7
8940 8.89895 7 7
8960 8.91895 7 7
8980 8.93895 7 7
9000 8.95895 7 7
9020 8.97895 7 7
9040 8.99895 7 7
9060 9.01895 7 7
9080 9.03895 7 7
9100 9.05895 7 7
9120 9.07895 7 7
9140 9.09895 7 7
9160 9.11895 7 7
9180 9.13895 7 7
9200 9.15895 7 7
9220 9.17895 7 7
9240 9.19895 7 7
9260 9.21895 7 7
9280 9.23895 7 7
9300 9.25895 7 7
9320 9.27895 7 7
9340 9.29895 7 7
9360 9.31895 7 7
9380 9.33895 7 7
9400 9.35895 7 7
9420 9.37895 7 7
9440 9.39895 7 7
9460 9.41895 7 7
9480 9.43895 7 7
9500 9.45895 7 7
9520 9.47895 7 7
9540 9.49895 7 7
9560 9.51895 7 7
9580 9.53895 7 7
9600 9.55895 7 7
9620 9.57895 7 7
9640 9.59895 7 7
9660 9.61895 7 7
9680 9.63895 7 7
9700 9.65895 7 7
9720 9.67895 7 7
9740 9.69895 7 7
9760 9.71895 7 7
9780 9.73895 7 7
9800 9.75895 7 7
9820 9.77895 7 7
9840 9.79895 7 7
9860 9.81895 7 7
9880 9.83895 7 7
9900 9.85895 7 7
9920 9.87895 7 7
9940 9.89895 7 7
9960 9.91895 7 7
9980 9.93895 7 7
10000 9.95895 7 7
10020 9.97895 7 7
10040 9.99895 7 7
10060 10.0189 7 7
10080 10.0389 7 7
10100 10.0589 7 7
10120 10.0789 7 7
10140 10.0989 7 7
10160 10.1189 7 7
10180 10.1389 7 7
10200 10.1589 7 7
10220 10.1789 7 7
10240 10.1989 7 7
10260 10.2189 7 7
10280 10.2389 7 7
10300 10.2589 7 7
10320 10.2789 7 7
10340 10.2989 7 7
10360 10.3189 7 7
10380 10.3389 7 7
10400 10.3589 7 7
10420 10.3789 7 7
10440 10.3989 7 7
10460 10.4189 7 7
10480 10.4389 7 7
10500 10.4589 7 7
10520 10.4789 7 7
10540 10.4989 7 7
10560 10.5189 7 7
10580 10.5389 7 7
10600 10.5589 7 7
10620 10.5789 7 7
10640 10.5989 7 7
10660 10.6189 7 7
10680 10.6389 7 7
10700 10.6589 7 7
10720 10.6789 7 7
10740 10.6989 7 7
10760 10.7189 7 7
10780 10.7389 7 7
10800 10.7589 7 7
10820 10.7789 7 7
10840 10.7989 7 7
10860 10.8189 7 7
10880 10.8389 7 7
10900 10.8589 7 7
10920 10.8789 7 7
10940 10.8989 7 7
10960 10.9189 7 7
10980 10.9389 7 7
11000 10.9589 7 7
11020 10.9789 7 7
11040 10.9989 7 7
11060 11.0189 7 7
11080 11.0389 7 7
11100 11.0589 7 7
11120 11.0789 7 7
11140 11.0989 7 7
11160 11.1189 7 7
11180 11.1389 7 7
11200 11.1589 7 7
11220 11.1789 7 7
11240 11.1989 7 7
11260 11.2189 7 7
11280 11.2389 7 7
11300 11.2589 7 7
11320 11.2789 7 7
11340 11.2989 7 7
11360 11.3189 7 7
11380 11.3389 7 7
11400 11.3589 7 7
11420 11.3789 7 7
11440 11.3989 7 7
11460 11.4189 7 7
11480 11.4389 7 7
11500 11.4589 7 7
11520 11.4789 7 7
11540 11.4989 7 7
11560 11.5189 7 7
11580 11.5389 7 7
11600 11.5589 7 7
11620 11.5789 7 7
11640 11.5989 7 7
11660 11.6189 7 7
11680 11.6389 7 7
11700 11.6589 7 7
11720 11.6789 7 7
11740 11.6989 7 7
11760 11.7189 7 7
11780 11.7389 7 7
11800 11.7589 7 6
11820 11.7789 7 7
11840 11.7989 7 7
11860 11.8189 7 7
11880 11.8389 7 6
11900 11.8589 7 6
11920 11.8789 7 6
11940 11.8989 7 7
11960 11.9189 7 7
11980 11.9389 7 7
12000 11.9589 7 7
12020 11.9789 7 7
12040 11.9989 7 7
12060 12.0189 7 7
12080 12.0389 8 8
12100 12.0589 8 8
12120 12.0789 7 7
12140 12.0989 7 7
12160 12.1189 7 7
12180 12.1389 7 7
12200 12.1589 7 7
12220 12.1789 7 7
12240 12.1989 7 7
12260 12.2189 7 7
12280 12.2389 7 7
12300 12.2589 7 6
12320 12.2789 7 6
12340 12.2989 7 7
12360 12.3189 7 7
12380 12.3389 7 7
12400 12.3589 7 7
12420 12.3789 7 7
12440 12.3989 7 7
12460 12.4189 7 7
12480 12.4389 7 7
12500 12.4589 7 7
12520 12.4789 7 7
12540 12.4989 7 7
12560 12.5189 7 7
12580 12.5389 7 7
12600 12.5589 7 7
12620 12.5789 7 7
12640 12.5989 7 7
12660 12.6189 7 7
12680 12.6389 7 7
12700 12.6589 7 7
12720 12.6789 7 7
12740 12.6989 7 7
12760 12.7189 7 7
12780 12.7389 7 7
12800 12.7589 7 7
12820 12.7789 7 7
12840 12.7989 7 7
12860 12.8189 7 7
12880 12.8389 7 7
12900 12.8589 7 6
12920 12.8789 7 7
12940 12.8989 7 7
12960 12.9189 7 7
12980 12.9389 7 6
13000 12.9589 7 6
13020 12.9789 7 6
13040 12.9989 7 6
13060 13.0189 7 7
13080 13.0389 7 7
13100 13.0589 7 7
13120 13.0789 7 7
13140 13.0989 7 7
13160 13.1189 7 7
13180 13.1389 7 7
13200 13.1589 7 7
13220 13.1789 7 7
13240 13.1989 7 7
13260 13.2189 7 7
13280 13.2389 7 7
13300 13.2589 7 7
13320 13.2789 8 8
13340 13.2989 8 8
13360 13.3189 7 7
13380 13.3389 7 6
13400 13.3589 7 7
13420 13.3789 7 7
13440 13.3989 7 7
13460 13.4189 7 7
13480 13.4389 7 7
13500 13.4589 7 7
13520 13.4789 7 7
13540 13.4989 7 7
13560 13.5189 7 7
13580 13.5389 7 7
13600 13.5589 7 7
13620 13.5789 7 7
13640 13.5989 7 7
13660 13.6189 7 7
13680 13.6389 7 7
13700 13.6589 7 7
13720 13.6789 7 7
13740 13.6989 7 7
13760 13.7189 7 7
13780 13.7389 7 7
13800 13.7589 7 7
13820 13.7789 7 7
13840 13.7989 7 7
13860 13.8189 7 7
13880 13.8389 7 7
13900 13.8589 7 7
13920 13.8789 7 7
13940 13.8989 7 7
13960 13.9189 7 7
13980 13.9389 7 7
14000 13.9589 7 7
14020 13.9789 7 7
14040 13.9989 7 7
14060 14.0189 7 7
14080 14.0389 7 7
14100 14.0589 7 7
14120 14.0789 7 7
14140 14.0989 7 7
14160 14.1189 7 7
14180 14.1389 7 7
14200 14.1589 7 7
14220 14.1789 7 7
14240 14.1989 7 7
14260 14.2189 7 7
14280 14.2389 7 7
14300 14.2589 7 7
14320 14.2789 7 7
14340 14.2989 7 7
14360 14.3189 7 7
14380 14.3389 7 6
14400 14.3589 7 6
14420 14.3789 7 7
14440 14.3989 7 7
14460 14.4189 7 7
14480 14.4389 7 7
14500 14.4589 8 8
14520 14.4789 8 8
14540 14.4989 7 6
14560 14.5189 7 6
14580 14.5389 7 7
14600 14.5589 7 7
14620 14.5789 7 7
14640 14.5989 7 6
14660 14.6189 7 7
14680 14.6389 7 7
14700 14.6589 7 7
14720 14.6789 7 7
14740 14.6989 7 7
14760 14.7189 7 7
14780 14.7389 7 7
14800 14.7589 7 7
14820 14.7789 7 7
14840 14.7989 7 7
14860 14.8189 7 6
14880 14.8389 7 7
14900 14.8589 7 7
14920 14.8789 7 7
14940 14.8989 7 7
14960 14.9189 7 7
14980 14.9389 7 7
15000 14.9589 7 7
