strain,sxx_GPa
0.00000,-0.12323
0.00100,0.03982
0.00200,0.19445
0.00300,0.31945
0.00400,0.27024
0.00500,0.32701
0.00600,0.40904
0.00700,0.62348
0.00800,0.72253
0.00900,0.87201
0.01000,0.80765
0.01100,0.92925
0.01200,0.94732
0.01300,1.06297
0.01400,1.15831
0.01500,1.28671
0.01600,1.27737
0.01700,1.41002
0.01800,1.38051
0.01900,1.46763
0.02000,1.67322
0.02100,1.90909
0.02200,1.95674
0.02300,1.80389
0.02400,1.88695
0.02500,1.99559
0.02600,2.19004
0.02700,2.42024
0.02800,2.47729
0.02900,2.53054
0.03000,2.38446
0.03100,2.51475
0.03200,2.58513
0.03300,2.88730
0.03400,3.05639
0.03500,2.92455
0.03600,3.04973
0.03700,3.04863
0.03800,3.17099
0.03900,3.47400
0.04000,3.44103
0.04100,3.56035
0.04200,3.50641
0.04300,3.57867
0.04400,3.60756
0.04500,3.77812
0.04600,4.01383
0.04700,3.98434
0.04800,4.03568
0.04900,4.03427
0.05000,4.02650
0.05100,4.09411
0.05200,4.40906
0.05300,4.55131
0.05400,4.58564
0.05500,4.42087
0.05600,4.47347
0.05700,4.63861
0.05800,4.80946
0.05900,4.92564
0.06000,4.89676
0.06100,4.82334
0.06200,4.83174
0.06300,4.85749
0.06400,5.06897
0.06500,5.19972
0.06600,5.32024
0.06700,5.27938
0.06800,5.34738
0.06900,5.35218
0.07000,5.43134
0.07100,5.62543
0.07200,5.54849
0.07300,5.70155
0.07400,5.67213
0.07500,5.71366
0.07600,5.84588
0.07700,5.78906
0.07800,5.89477
0.07900,5.99496
0.08000,6.08825
0.08100,6.02911
0.08200,5.89893
0.08300,6.02400
0.08400,6.21449
0.08500,6.14378
0.08600,6.23659
0.08700,6.02305
0.08800,6.00227
0.08900,6.03959
0.09000,5.98670
0.09100,6.04231
0.09200,6.11460
0.09300,6.08867
0.09400,5.96486
0.09500,5.77675
0.09600,5.74012
0.09700,5.62695
0.09800,5.53833
0.09900,5.45354
0.10000,5.27687
0.10100,5.20297
0.10200,5.07470
0.10300,5.01751
0.10400,4.90608
0.10500,4.71187
0.10600,4.63491
0.10700,4.45153
0.10800,4.21233
0.10900,4.13608
0.11000,3.93241
0.11100,3.77430
0.11200,3.55622
0.11300,3.42974
0.11400,3.42929
0.11500,3.14947
0.11600,3.14070
0.11700,2.98599
0.11800,2.92044
0.11900,2.71414
0.12000,2.52585
0.12100,2.61538
0.12200,2.58687
0.12300,2.46954
0.12400,2.52209
0.12500,2.49391
0.12600,2.46090
0.12700,2.53000
0.12800,2.69552
0.12900,2.64161
0.13000,2.55103
0.13100,2.49122
0.13200,2.45931
0.13300,2.35509
0.13400,2.34832
0.13500,2.37615
0.13600,2.29337
0.13700,2.21156
0.13800,2.05312
0.13900,1.99715
