# Time-averaged data for fix rec
# TimeStep v_temp v_vat
11000 304.852 16.9018
12000 314.038 16.9135
13000 324.359 16.924
14000 331.285 16.9355
15000 342.97 16.9482
16000 353.125 16.9564
17000 363.155 16.9676
18000 373.133 16.9778
19000 384.175 16.9894
20000 394.592 17.0029
21000 400.213 17.0106
22000 414.656 17.0267
23000 422.794 17.0359
24000 431.775 17.045
25000 445.503 17.0599
26000 450.862 17.0699
27000 469.58 17.0874
28000 471.244 17.092
29000 484.078 17.1077
30000 489.869 17.1169
31000 503.038 17.129
32000 512.877 17.1394
33000 520.934 17.1482
34000 534.107 17.1646
35000 540.173 17.1718
36000 555.773 17.1877
37000 563.082 17.2036
38000 576.428 17.2115
39000 585.406 17.2265
40000 590.79 17.2388
41000 603.905 17.2495
42000 610.631 17.2557
43000 623.055 17.275
44000 629.186 17.2769
45000 643.908 17.3015
46000 657.412 17.3192
47000 667.085 17.3345
48000 675.867 17.3497
49000 685.186 17.3585
50000 695.522 17.3675
51000 704.342 17.3781
52000 715.481 17.3935
53000 721.694 17.406
54000 735.473 17.4224
55000 743.035 17.4372
56000 749.043 17.4487
57000 764.35 17.4592
58000 771.619 17.4745
59000 781.879 17.4928
60000 785.574 17.5022
61000 805.591 17.5245
62000 815.706 17.5415
63000 824.101 17.5511
64000 836.471 17.5655
65000 841.844 17.5807
66000 854.213 17.5994
67000 863.921 17.6148
68000 867.827 17.6224
69000 887.177 17.6508
70000 889.363 17.6612
71000 902.401 17.672
72000 916.216 17.6958
73000 919.464 17.708
74000 924.607 17.7231
75000 948.802 17.7626
76000 959.114 17.7787
77000 957.354 17.7847
78000 969.436 17.8026
79000 978.971 17.8261
80000 998.805 17.8719
81000 1013.97 17.8922
82000 1017.27 17.8932
83000 1024.39 17.9204
84000 1037.48 17.9457
85000 1035.83 17.9357
86000 1047.14 17.9625
87000 1068.04 18.0252
88000 1079.58 18.0453
89000 1081.39 18.0441
90000 1102.34 18.1068
91000 1100.8 18.1123
92000 1113.64 18.1644
93000 1119.3 18.1934
94000 1130.63 18.2363
95000 1139.96 18.4527
96000 1137.51 19.032
97000 1166.31 19.1994
98000 1175.88 19.1835
99000 1182.09 19.2205
100000 1192.5 19.2284
101000 1201.82 19.2669
102000 1219.85 19.292
103000 1218.87 19.3247
104000 1243.08 19.3514
105000 1245.3 19.3369
106000 1255.87 19.4068
107000 1270.06 19.399
108000 1270.61 19.4191
109000 1282.59 19.4411
110000 1309.83 19.467
111000 1301.14 19.4939
112000 1311.29 19.452
113000 1330.68 19.5737
114000 1333.96 19.5634
115000 1344.4 19.5902
116000 1363.18 19.6
117000 1364.27 19.63
118000 1380.44 19.6664
119000 1389.28 19.6784
120000 1405.76 19.7344
121000 1398.29 19.7052
122000 1411.99 19.7482
123000 1421.42 19.7663
124000 1431.56 19.7808
125000 1434.92 19.7817
126000 1452.57 19.8589
127000 1472.71 19.86
128000 1469.8 19.9032
129000 1482.82 19.9083
130000 1503.35 19.9618
