# Time-averaged data for fix rec
# TimeStep v_temp v_vat c_nfcc c_dravg c_drmax
131000 1494.07 19.5805 64.8 0.170251 0.413949
132000 1485.35 19.5577 64.65 0.165309 0.404985
133000 1473.23 19.524 65.75 0.161999 0.39735
134000 1453.17 19.4981 65.1 0.162668 0.404067
135000 1447.74 19.4823 65.75 0.165357 0.412585
136000 1458.01 19.5078 66 0.163037 0.395848
137000 1428.98 19.4519 66.65 0.158532 0.384282
138000 1430.51 19.4537 65.5 0.156171 0.37782
139000 1419.76 19.4013 67.65 0.159513 0.384958
140000 1400.23 19.3951 66.45 0.161354 0.408928
141000 1397.03 19.3956 67.35 0.157489 0.386006
142000 1397.94 19.3602 69.8 0.157675 0.379483
143000 1370.05 19.3139 66.55 0.157961 0.381285
144000 1364.46 19.3394 64.95 0.157506 0.380187
145000 1353.51 19.2884 66.7 0.153009 0.378707
146000 1336.45 19.2577 67.9 0.153401 0.364216
147000 1331.61 19.2367 67.95 0.150165 0.363535
148000 1322.49 19.2339 67.1 0.151077 0.356676
149000 1323.5 19.223 66.05 0.154417 0.405867
150000 1309.17 19.185 67.65 0.149986 0.360661
151000 1296.9 19.1658 67.65 0.150753 0.378651
152000 1289.15 19.1886 67 0.146411 0.353861
153000 1286 19.1677 70.4 0.145652 0.352633
154000 1268.66 19.1274 68.25 0.142581 0.366993
155000 1260.29 19.0907 70.4 0.141243 0.346136
156000 1247.43 19.0857 69.6 0.146721 0.343989
157000 1238.66 19.0355 68 0.146128 0.365129
158000 1234.36 19.0873 70.25 0.144186 0.343334
159000 1214.28 19.0371 69.65 0.143925 0.341087
160000 1194.03 19.0031 70.15 0.141108 0.342649
161000 1199.53 18.9961 72.65 0.137368 0.334696
162000 1182.7 18.9732 71.2 0.138057 0.333663
163000 1178.56 18.967 71.1 0.140153 0.323045
164000 1159.87 18.928 69.3 0.139619 0.36388
165000 1162.54 18.9319 71 0.137963 0.317617
166000 1150.36 18.8993 72.9 0.140379 0.344972
167000 1133.38 18.8681 71.55 0.138366 0.331837
168000 1118.17 18.8536 72.2 0.136946 0.319036
