# Time-averaged data for fix rec
# TimeStep v_temp v_vat c_nfcc c_dravg c_drmax
169000 1120.52 18.8333 70 0.135311 0.334872
170000 1096.1 18.8129 73 0.132641 0.302988
171000 1086.05 18.8282 72.45 0.132097 0.316289
172000 1085.66 18.7768 71.6 0.133824 0.325404
173000 1070.9 18.7464 74.65 0.135134 0.328391
174000 1061.22 18.7323 74.55 0.131962 0.312207
175000 1056.42 18.7273 76.8 0.132716 0.306533
176000 1055.41 18.7105 74.25 0.132943 0.320799
177000 1034.85 18.7008 75.2 0.131754 0.317655
178000 1023.26 18.6683 79 0.128115 0.283591
179000 1014.68 18.6616 75.7 0.129273 0.33018
180000 1004.82 18.6436 75.45 0.127666 0.30387
181000 998.501 18.6232 78.05 0.128153 0.29499
182000 984.93 18.6169 77 0.125115 0.308829
183000 978.063 18.585 81.55 0.122246 0.306151
184000 963.471 18.5877 76.1 0.121301 0.288181
185000 955.17 18.5502 77.15 0.122229 0.283085
186000 948.535 18.5382 78.05 0.119551 0.286419
187000 937.535 18.5221 80.4 0.120581 0.27324
188000 921.39 18.4891 87.2 0.116396 0.273911
189000 920.981 18.464 87 0.117814 0.293212
190000 905.417 18.4611 88 0.115763 0.285976
191000 901.218 18.4449 87.65 0.118205 0.270999
192000 891.561 18.4357 88.95 0.118878 0.281786
193000 877.668 18.3846 100.45 0.119184 0.276462
194000 854.684 18.3371 102.3 0.117828 0.282086
195000 860.202 18.3386 103.6 0.117568 0.27323
196000 853.136 18.3329 98.3 0.116356 0.277635
197000 839.65 18.3184 96.1 0.115885 0.280288
198000 829.282 18.2994 99.15 0.115284 0.281363
199000 816.156 18.288 95.5 0.115761 0.285814
200000 804.578 18.2421 106.85 0.111844 0.259429
201000 795.185 18.2233 112.6 0.111516 0.266349
202000 782.774 18.2028 117.7 0.109652 0.250349
203000 766.708 18.1613 117.25 0.105788 0.252866
204000 765.429 18.1524 130.75 0.107057 0.261892
205000 755.854 18.095 144.95 0.10314 0.246527
206000 742.134 17.9631 198.35 0.100631 0.238529
207000 752.825 17.7184 299.45 0.0952072 0.22855
208000 730.91 17.4395 431.25 0.0895036 0.211482
209000 711.547 17.3796 489.1 0.091547 0.214778
210000 702.898 17.3712 489.75 0.0956896 0.22483
211000 699.227 17.3616 511.9 0.0950976 0.227928
212000 685.102 17.3372 513.6 0.0953071 0.222858
213000 671.914 17.3298 534.9 0.0955215 0.228229
214000 661.633 17.3217 548.75 0.0974381 0.234708
215000 657.12 17.2988 552.9 0.0977859 0.234662
216000 642.371 17.2923 580.5 0.0959793 0.225709
217000 632.656 17.2801 592.6 0.094826 0.214409
218000 626.108 17.2606 609.85 0.0944597 0.231417
219000 614.065 17.2537 614.6 0.0965226 0.225631
220000 605.441 17.2452 633.3 0.0941408 0.220981
221000 592.485 17.2273 655.1 0.0944099 0.228215
222000 588.854 17.2243 657.9 0.0922203 0.223833
223000 568.376 17.2028 674.05 0.090442 0.212403
224000 565.195 17.1855 705.9 0.0897045 0.21745
225000 555.806 17.1728 737.1 0.0902028 0.212432
226000 541.298 17.1648 765.1 0.0896908 0.205148
227000 537.574 17.149 773.9 0.0884105 0.206751
228000 527.205 17.1384 806.05 0.085472 0.205774
229000 509.793 17.1284 824.05 0.0830581 0.189267
230000 502.127 17.1167 843.25 0.083559 0.195314
231000 494.293 17.1072 865.9 0.084146 0.199901
232000 485.527 17.0988 878.15 0.0846567 0.200109
233000 480.822 17.0917 911.05 0.0840974 0.197796
234000 464.454 17.0641 918.6 0.0839133 0.191808
235000 456.266 17.0674 968.35 0.0817186 0.184927
236000 446.201 17.0531 999.75 0.0799383 0.189727
237000 438.267 17.0411 1006.8 0.0798717 0.182214
238000 426.005 17.0333 1055.05 0.0772843 0.181675
239000 413.459 17.0235 1081.05 0.0773616 0.172582
240000 405.406 17.0071 1066.45 0.0761402 0.180394
241000 394.797 17.0002 1103.35 0.0746425 0.171934
242000 386.093 16.9921 1150.1 0.0739211 0.167208
243000 374.92 16.9749 1186.95 0.073147 0.166492
244000 359.905 16.9636 1234.9 0.0714026 0.167051
245000 355.276 16.9609 1247.75 0.0708976 0.16986
246000 346.44 16.9435 1272.45 0.0697459 0.160939
247000 337.767 16.9266 1339.45 0.0690973 0.159501
248000 326.062 16.9243 1344.2 0.0672899 0.16156
249000 314.435 16.899 1405.5 0.0661679 0.155425
250000 304.14 16.891 1450.25 0.0657466 0.150496
