# Time-averaged data for fix rec
# TimeStep v_temp v_vat c_nfcc c_dravg c_drmax
99000 1186.03 18.1776 139.95 0.141119 0.364753
100000 1189.89 18.1728 149.7 0.138787 0.327779
101000 1203.96 18.2608 130.95 0.142747 0.340007
102000 1190.07 18.5704 104.35 0.151401 0.360538
103000 1234.34 18.9895 76.4 0.159003 0.384898
104000 1240.7 19.0466 68.8 0.157112 0.397869
105000 1252.17 19.0731 69.05 0.1515 0.35751
106000 1247.98 19.0808 70.05 0.150354 0.348194
107000 1256.07 19.0893 68.95 0.150525 0.356421
108000 1277.14 19.1138 68.85 0.153199 0.358376
109000 1273.54 19.1409 69.55 0.152249 0.37413
110000 1284.18 19.1646 70.3 0.14974 0.348261
111000 1299.27 19.2045 67.45 0.150733 0.35828
112000 1319.47 19.1989 70.85 0.149031 0.36979
113000 1323.18 19.2224 69.9 0.149677 0.337302
114000 1330.14 19.2534 66.95 0.153309 0.352478
115000 1343.02 19.2738 67.65 0.156196 0.363556
116000 1354.92 19.2845 67 0.15842 0.363751
117000 1356.26 19.2722 67.8 0.158263 0.40147
118000 1366.66 19.3302 67 0.159125 0.414382
119000 1374.04 19.351 67.1 0.156944 0.384203
120000 1396.11 19.3764 66.3 0.159044 0.372511
121000 1412.6 19.3923 67.7 0.157298 0.39243
122000 1415.52 19.4191 67.5 0.159284 0.382222
123000 1423.29 19.4315 67.9 0.156092 0.375525
124000 1430.14 19.4515 65.5 0.156786 0.378308
125000 1443.58 19.4845 67 0.155861 0.371674
126000 1461.06 19.528 64.3 0.163491 0.386274
127000 1454.91 19.4946 67.5 0.161474 0.389392
128000 1467.96 19.5132 66.25 0.163692 0.392103
129000 1485.84 19.5497 66.7 0.164043 0.384081
130000 1493.04 19.5296 63.65 0.170048 0.414443
