# Experimental phonon frequencies of fcc copper at 298 K
# from inelastic neutron scattering by
#   E.C. Svensson, B.N. Brockhouse, J.M. Rowe,
#   "Crystal Dynamics of Copper", Phys. Rev. 155, 619 (1967).
# Mapped onto the Gamma-X-W-X'-Gamma-L path used in this tutorial.
# columns:  qr (path coordinate, 2pi/L)   frequency (THz)
  0.14142   2.440
  0.21213   3.560
  0.28284   4.500
  0.35355   5.420
  0.42426   6.140
  0.49497   6.660
  0.56568   6.900
  0.63640   7.150
  0.70711   7.200
  0.14142   1.600
  0.21213   2.350
  0.28284   3.050
  0.35355   3.670
  0.42426   4.170
  0.49497   4.590
  0.56568   4.880
  0.63640   5.070
  0.70711   5.090
  2.51648   1.960
  2.39401   3.670
  2.27153   5.030
  2.14906   6.000
  2.02659   6.350
  1.90411   6.350
  1.78164   6.140
  1.65916   5.710
  1.41421   5.090
  2.51648   1.120
  2.39401   2.345
  2.27153   3.410
  2.14906   4.330
  2.02659   5.120
  1.90411   5.760
  1.78164   6.390
  1.65916   6.790
  1.53669   7.080
  1.41421   7.200
  2.33277   1.730
  2.27153   2.070
  2.14906   2.730
  2.02659   3.390
  1.90411   3.850
  1.78164   4.330
  1.65916   4.700
  1.53669   4.930
  1.41421   5.090
  2.72556   1.220
  2.81216   2.490
  2.89877   3.590
  2.98537   4.570
  3.07197   5.460
  3.15857   6.180
  3.24518   6.710
  3.33178   7.010
  3.41838   7.160
  3.50498   7.290
  2.81216   0.980
  2.89877   1.440
  2.98537   1.890
  3.07197   2.300
  3.15857   2.690
  3.24518   2.980
  3.33178   3.210
  3.41838   3.370
  3.50498   3.410
  1.06066   4.890
  1.13137   4.970
  1.20208   5.000
  1.27279   5.020
  1.34350   5.050
  1.41421   5.090
